(H)ukšā́	<i>noun</i><br><ol><li>bull</li></ol>
aȷ́ʰám|wayám|máHi|mád|wáyawš|Dative|mábʰyam|Instrumental|asmáHbʰiš|Nominative|wáHbʰyaH|Ablative|máyaH|Locative|máHm|asmā́ns|asmáy|asmā́kam|Genitive|asmád|Vocative|wáHm|Accusative|mána	<i>pron</i><br><ol><li>I, we</li></ol>
bálam|bálaybʰyas|bálayās|bálaH|bálānaHm|bálayaw|bálā|bálaybʰyaH|bálāt|bálasya|bálāyš|bálāy|bálānam|bálayšu|bálay	<i>noun</i><br><ol><li>strength</li></ol>
bálas	<i>adj</i><br><ol><li>strong, forceful</li></ol>
bíHȷ́am|bíHȷ́aH|bíHȷ́āyš|bíHȷ́āt|bíHȷ́aybʰyas|bíHȷ́ayšu|bíHȷ́aybʰyaH|bíHȷ́āy|bíHȷ́ānaHm|bíHȷ́ayaw|bíHȷ́ayās|bíHȷ́ā|bíHȷ́ānam|bíHȷ́ay|bíHȷ́asya	<i>noun</i><br><ol><li>seed</li><li>semen</li></ol>
bʰaHnúš|bʰaHnúáwš|bʰaHnúáy|bʰaHnúsu|bʰaHnúbʰíš|bʰaHnúám|bʰaHnúbʰyáH|bʰaHnúām|bʰaHnúás|bʰaHnú|bʰaHnúáH|bʰaHnúí|bʰaHnúā́w	<i>noun</i><br><ol><li>ray of light</li></ol>
bʰaHȷ́ʰúš|bʰaHȷ́ʰúáH|bʰaHȷ́ʰúbʰíš|bʰaHȷ́ʰúsu|bʰaHȷ́ʰúbʰyáH|bʰaHȷ́ʰúás|bʰaHȷ́ʰúām|bʰaHȷ́ʰúā́w|bʰaHȷ́ʰúáy|bʰaHȷ́ʰú|bʰaHȷ́ʰúám|bʰaHȷ́ʰúí|bʰaHȷ́ʰúáwš	<i>noun</i><br><ol><li>arm</li></ol>
bʰadrás	<i>adj</i><br><ol><li>auspicious, blessed, fortunate</li></ol>
bʰadᶻdʰás	<i>adj</i><br><ol><li>tied, bound</li></ol>
bʰagás|bʰagā́y|bʰagám|bʰagáybʰyaH|bʰagā́t|bʰagáyās|bʰagáyaw|bʰagáyšu|bʰagā́nam|bʰagásya|bʰaga|bʰagáy|bʰagáybʰyas|bʰagā́yš|bʰagā́naHm|bʰagā́|bʰagā́ns	<i>noun</i><br><ol><li>portion, part, share, allotment</li><li>fate, destiny</li><li>(religion) "the dispenser"; a god</li></ol>
bʰaktás|bʰaktáyaw|bʰaktáybʰyaH|bʰaktā́|bʰaktā́ns|bʰaktáyās|bʰaktásya|bʰaktā́yš|bʰaktáyšu|bʰaktáy|bʰakta|bʰaktā́nam|bʰaktā́t|bʰaktáybʰyas|bʰaktā́naHm|bʰaktā́y|bʰaktám	<i>adj</i><br><ol><li>distributed, allotted, assigned</li></ol><br><i>noun</i><br><ol><li>share, lot, portion</li><li>fortune</li></ol>
bʰarȷ́ʰíš|bʰarȷ́ʰay|bʰarȷ́ʰim|bʰarȷ́ʰyawš|bʰarȷ́ʰā?|bʰarȷ́ʰiH|bʰarȷ́ʰāw?|bʰarȷ́ʰibʰyas|bʰarȷ́ʰibʰyām|bʰarȷ́ʰayš|bʰarȷ́ʰišu|bʰarȷ́ʰayas|bʰarȷ́ʰayay|bʰarȷ́ʰīn|bʰarȷ́ʰiš|bʰarȷ́ʰayām?|bʰarȷ́ʰibʰiš	<i>noun</i><br><ol><li>pillow</li><li>bed or layer of grass</li></ol>
bʰayšaȷ́ás	<i>adj</i><br><ol><li>healing, curative</li></ol>
bʰaȷ́ʰúš|bʰánȷ́ʰyas|bʰánȷ́ʰištʰas	<i>adj</i><br><ol><li>thick</li><li>abundant</li></ol>
