(H)ukšā́	<i>noun</i><br><ol><li>bull</li></ol>
śćinátˢti|sčitˢtwáH|čindáHtʰay|3rd|sčidyáymadʰHi|sčidyáyrant|sčidyáHmadʰHaHy|asčindatá|sčinadáHmadʰHaHy|sčindyáHt|sčindyáHtam|sčidyásay|sčindyáHtām|asčintˢtʰás|sčidyáyHātām|asčindánt|sčintˢtá|sčintsáy|asčináts|sčindánti|sčintˢtáy|sčidyáyta|asčidyáta|sčindwás|sčintˢtʰá|sčindiHwádʰHi|asčindáHtām|sčidyáytʰām|sčindántu|sčinátˢtu|sčidyáytʰay|asčindwá|sčindiHā́tām|asčindmádʰHi|asčidyáHwadʰHi|sčindiHtʰā́s|sčindiHránt|sčindatám|sčidyáywadʰHi|sčidyátay|sčinádaHni|sčintˢtā́m|sčidyántay|sčindáy|asčindwádʰHi|sčidnás|sčinádmi|sčindáHtʰām|asčinádam|sčidyáHwadʰHaHy|sčindáHtay|sčinadáHwadʰHaHy|sčinddʰHwám|sčinddʰí|sčindiHdʰHwám|sčintswá|sčáytˢtum|asčintˢtá|asčitˢdtá|sčidyáyHātʰām|sčindatáy|asčidyátʰās|asčidyáytʰām|sčidyántam|sčidyáytay|sčindmádʰHay|činddʰHwáy|sčindiHtá|sčidyádʰHway|sčindyáHwa|sčindyáHta|2nd|sčidyáytām|sčidmadʰHay|sčindyáHm|asčidyámadʰHi|asčinddʰHwám|sčindmás|sčidyátām|sčidyámHnas|sčidwadʰHay|sčindiHmádʰHi|sčinátsi|sčindiHā́tʰām|asčinát|sčindwádʰHay|sčintˢtʰás|asčidyádʰHwam|asčindáHtʰām|sčinádaHy|sčinádaHwa|sčinátˢti|sčintˢtás|asčintˢtā́m|sčindyáHmas|sčindiHá|1st|sčinádaHma|asčidyáytām|asčidyánta|asčindHí|sčidyáy|asčindmá|sčindyunt|sčidyáytʰās|sčáydyas|sčidyáydʰHwam|sčidyáHy|sčidyádʰHwam|sčindaHnás|sčindyáHs|sčindánt|asčidyáy|sčindáHtām|sčidyáyHa|sčintˢtám|sčidyáswa	<i>verb</i><br><ol><li>to cut</li></ol>
šwáćš	<i>num</i><br><ol><li>six</li></ol>
ǰiHwás	<i>adj</i><br><ol><li>alive</li></ol>
ǰyáH	<i>noun</i><br><ol><li>bowstring</li></ol>
ǰámati	<i>verb</i><br><ol><li>to come</li><li>to arrive</li></ol>
ǰánHs	<i>noun</i><br><ol><li>woman</li><li>wife</li></ol>
ǰátu	<i>noun</i><br><ol><li>gum</li></ol>
ǰáǰʰukas	<i>noun</i><br><ol><li>hedgehog</li></ol>
ǰíHwati|3rd|ǰiHwyáyrant|ǰiHwáHwadʰHay|aǰíHwadʰHwam|aǰiHwáHmadʰHi|ǰiHwyántay|ǰiHwyáytām|ǰíHwaHy|áǰiHwas|ǰíHwasi|ǰiHwyáytʰām|ǰiHwyántam|ǰiHwyáywadʰHi|ǰíHwaytām|ǰíHwatu|ǰiHwyáHmadʰHay|ǰíHwant|aǰiHwyánta|ǰiHwáHmadʰHay|aǰiHwyátʰās|ǰíHwyas|ǰíHwatām|ǰiHwatwáH|ǰiHwyáHy|ǰíHwayt|ǰiHwyádʰHwam|ǰíHwaHma|ǰiHwyáHwadʰHaHy|aǰíHwaHma|ǰíHwantay|ǰíHwaytʰās|aǰíHwata|aǰíHwatām|ǰíHwaHwa|ǰiHwyáHmadʰHaHy|aǰiHwyáta|ǰíHwaswa|aǰiHwyáytām|ǰiHwáyHātām|ǰiHwyáyHātʰām|ǰíHwata|ǰiHwáywadʰHi|ǰíHwaydʰHwam|ǰíHwatʰa|ǰiHwyáytʰās|ǰiHwáyHātʰām|ǰíHwadʰHway|aǰiHwyáy|ǰíHwaHmi|ǰiHwyáyHātām|aǰíHwatam|ǰíHwaytʰām|ǰiHwatás|aǰíHwaytām|aǰíHwaytʰām|ǰiHwyáyHa|ǰíHways|aǰiHwyádʰHwam|ǰíHway|áǰiHwam|ǰiHwyáy|ǰíHwatʰas|ǰiHwyádʰHway|aǰiHwyáHwadʰHi|ǰíHwaymas|ǰíHwaywa|ǰíHwaHni|2nd|ǰíHwatas|ǰíHwantam|ǰíHwayHa|ǰiHwyátay|ǰiHwyáyta|ǰíHwa|aǰíHwanta|ǰíHwamHnas|ǰiHwyáytay|ǰíHwaytay|ǰiHwyáydʰHwam|áǰiHway|ǰíHwaytam|ǰíHwayta|ǰiHwyáswa|ǰiHwyásay|áǰiHwant|ǰiHwyáymadʰHi|ǰíHwatum|aǰiHwyáHmadʰHi|ǰiHwyátām|aǰiHwáHwadʰHi|ǰiHwyáHwadʰHay|ǰíHwayrant|ǰíHwayHunt|ǰíHwaytʰay|aǰíHwaHwa|ǰiHwáHwadʰHaHy|1st|ǰiHwáHmadʰHaHy|aǰiHwyáytʰām|áǰiHwat|ǰíHwaHmas|ǰiHwyáytʰay|ǰíHwayHam|ǰíHwasay|aǰíHwatʰās|ǰiHwyámHnas|ǰíHwatam|ǰíHwanti|ǰíHwadʰHwam|ǰiHwáymadʰHi|ǰíHwaHwas|ǰíHwatay|ǰíHwantu	<i>verb</i><br><ol><li>to live, be alive</li></ol>
ǰʰatás	<i>adj</i><br><ol><li>killed, slain</li><li>struck</li></ol>
ǰʰánti|3rd|gʰnā́tʰām|áǰʰans|aǰʰanwá|ǰʰadʰHwáy|ǰʰatám|agʰnáHtām|gʰniHātām|aǰʰanyáytʰām|gʰnatā́m|aǰʰanyádʰHwam|ǰʰansi|ǰʰanyáy|gʰniHwádʰHi|ǰʰanyáHta|gʰniHmádʰHi|ǰʰátás|aǰʰanmá|áǰʰanam|ǰʰánaHwa|ǰʰanyáHmadʰHay|ǰʰanyáHt|ǰʰanyáHm|ǰʰanyáHtam|ǰʰatás|ǰʰanyáywadʰHi|ǰʰánaHy|ǰʰatʰá|ǰʰanyáswa|gʰniHā́tʰām|ǰʰanyáHwadʰHaHy|ǰʰntá|ǰʰanyámHnas|agʰnHí|aǰʰatá|ǰʰanyáHs|bʰaryátay|agʰnatá|ǰʰanyáHmas|gʰnā́tām|ǰʰanyáytay|gʰniHtá|ǰʰanyáytām|ǰʰanyáydʰHwam|gʰā́tyas|ǰʰanyáyHātām|aǰʰanyáta|ǰʰanyáHtām|ǰʰanyáytʰay|ǰʰanyáytʰās|agʰnáHtʰām|gʰniHá|ǰʰanyásay|aǰʰanyáHwadʰHi|ǰʰanwás|ǰʰántu|ǰʰanmás|ǰʰanyántay|ǰʰanyádʰHway|ǰʰanyádʰHwam|gʰnántu|2nd|gʰnā́tay|ǰʰanaHnás|ǰʰantwáH|aǰʰanmádʰHi|aǰʰatā́m|ǰʰanyáyHa|ǰʰanyáHyunt|aǰʰanwádʰHi|aǰʰadʰHwám|gʰnánt|ǰʰanyáyta|ǰʰanyáHwadʰHay|ǰʰánmi|gʰniHtʰā́s|ǰʰadʰHwám|gʰniHránt|ǰʰatā́m|gʰnáy|ǰʰántum|gʰniHdʰHwám|aǰʰatʰā́s|ǰʰanáHwadʰHaHy|ǰʰadʰí|1st|ǰʰánaHma|ǰʰanyántam|ǰʰanyáHmadʰHaHy|ǰʰatáy|aǰʰanyáHmadʰHi|ǰʰanwádʰHay|ǰʰanyáyrant|ǰʰasáy|gʰnā́tʰay|gʰnatáy|ǰʰanyáHwa|ǰʰanyáymadʰHi|ǰʰaswá|ǰʰanyáyHātʰām|aǰʰanyáy|ǰʰanmádʰHay|áǰʰant|gʰnánti|ǰʰatʰás|aǰʰatám|ǰʰánaHni|ǰʰanáHmadʰHaHy|aǰʰanyánta|ǰʰanyáytʰām|ǰʰanyáHy|aǰʰanyátʰās|aǰʰanyáytām|ǰʰanyátām|agʰnánt	<i>verb</i><br><ol><li>to strike, slay, kill</li></ol>
ǰʰí	<i>particle</i><br><ol><li>an emphatic particle</li></ol>
ȷ́aHtás	<i>adj</i><br><ol><li>begotten, produced</li></ol><br><i>noun</i><br><ol><li>child, son, offspring</li></ol>
ȷ́aluš	<i>noun</i><br><ol><li>leech</li></ol>
ȷ́antúš	<i>noun</i><br><ol><li>offspring, child</li><li>creature, person</li><li>tribe, clan</li></ol>
ȷ́iȷ́ʰwáH|ȷ́iȷ́ʰwayaH|ȷ́iȷ́ʰwaHbʰyā|ȷ́iȷ́ʰwayaHy|ȷ́iȷ́ʰwaH|ȷ́iȷ́ʰwaHnām|ȷ́iȷ́ʰwaHbʰyām|ȷ́iȷ́ʰwās|ȷ́iȷ́ʰwām|ȷ́iȷ́ʰwāyās|ȷ́iȷ́ʰwaHbʰiš|ȷ́iȷ́ʰwayaHs|ȷ́iȷ́ʰwayaHm|ȷ́iȷ́ʰwaHsu|ȷ́iȷ́ʰwaHbʰyas|ȷ́iȷ́ʰway|ȷ́iȷ́ʰwāyaw	<i>noun</i><br><ol><li>tongue</li></ol>
ȷ́ráyas	<i>noun</i><br><ol><li>expanse, vastness</li><li>ocean</li></ol>
ȷ́ágrastay	<i>verb</i><br><ol><li>to swallow, devour, eat</li></ol>
ȷ́ámbʰas|ȷ́ámbʰānam|ȷ́ámbʰay|ȷ́ámbʰānaHm|ȷ́ámbʰaybʰyas|ȷ́ámbʰāt|ȷ́ámbʰayaw|ȷ́ámbʰasya|ȷ́ámbʰā|ȷ́ámbʰam|ȷ́ámbʰa|ȷ́ámbʰayās|ȷ́ámbʰayšu|ȷ́ámbʰāns|ȷ́ámbʰāy|ȷ́ámbʰāyš|ȷ́ámbʰaybʰyaH	<i>noun</i><br><ol><li>(anatomy) tooth</li><li>jawbone?</li></ol>
ȷ́ánHas|ȷ́ánHasay|ȷ́ánHasiH|ȷ́ánHasas|ȷ́ánHasaHam|ȷ́ánHasi|ȷ́ánHasu|ȷ́ánHasH|ȷ́ánHasbʰi|ȷ́ánHasmas	<i>noun</i><br><ol><li>race, group of people</li></ol>
ȷ́áwšati	<i>verb</i><br><ol><li>to like, enjoy</li><li>to be pleased</li></ol>
ȷ́ānáHti|ȷ́ānHmádʰHay|3rd|ȷ́ānHiHmádʰHi|ȷ́ānHmás|ȷ́naHyádʰHwam|aȷ́ānáHs|aȷ́naHyáytʰām|ȷ́ānHtʰá|ȷ́ānHiHwádʰHi|ȷ́naHyáy|aȷ́ānáHt|ȷ́ānHatáy|ȷ́ānáHni|aȷ́naHyáta|ȷ́ānHántu|ȷ́ānHánti|ȷ́ānHiHtá|ȷ́ānHatám|ȷ́ānHdʰHwám|ȷ́ānáHmi|ȷ́naHyásay|ȷ́naHyáHy|ȷ́ānaHnás|aȷ́ānHtʰás|ȷ́ānáHy|ȷ́ānHiHtʰā́s|ȷ́naHyádʰHway|ȷ́naHyáymadʰHi|ȷ́ānHyáHmas|ȷ́ānáHtʰām|ȷ́ānHtás|ȷ́naHyáyHātʰām|aȷ́ānHí|aȷ́naHyámadʰHi|aȷ́ānHtá|aȷ́ānHtā́m|ȷ́ānáHma|ȷ́ānáHwa|ȷ́naHyáHmadʰHay|aȷ́naHyáy|aȷ́ānHwádʰHi|ȷ́naHyáHwadʰHay|ȷ́ānHdʰí|ȷ́naHyáHwadʰHaHy|ȷ́naHyántam|ȷ́ānHyáHta|ȷ́naHyámHnas|aȷ́ānHdʰHwám|ȷ́ānáHsi|ȷ́naHyáytām|aȷ́ānHmá|aȷ́naHyánta|ȷ́ānHyáHm|ȷ́ānHyáHs|ȷ́ānHtā́m|ȷ́naHyántay|ȷ́ānHšáy|ȷ́ānáHtām|aȷ́naHyátʰās|ȷ́ānHyáHt|ȷ́ānHiHá|aȷ́ānáHm|ȷ́naHyátay|ȷ́ānHšwá|ȷ́naHyáytay|ȷ́náyHyas|ȷ́ānHáy|2nd|ȷ́ānHwádʰHay|ȷ́ānHyáHtam|ȷ́ānáHtu|ȷ́ānánt|ȷ́naHyáydʰHwam|aȷ́ānHtám|ȷ́náHtum|ȷ́ānáHtʰay|aȷ́ānHatá|ȷ́naHtás|aȷ́naHyáHwadʰHi|ȷ́ānáHwadʰHaHy|aȷ́naHyádʰHwam|ȷ́naHyáytʰās|ȷ́naHyáyHa|ȷ́ānHiHránt|ȷ́ānHyunt|ȷ́ānHtám|ȷ́ānáHtay|ȷ́naHyáswa|ȷ́ānHyáHwa|aȷ́ānHmádʰHi|aȷ́ānáHtām|ȷ́ānHiHā́tām|ȷ́ānáHmadʰHaHy|ȷ́ānHyáHtām|aȷ́ānHánt|ȷ́ānHdʰHwáy|ȷ́ānHtáy|1st|ȷ́naHtwáH|ȷ́naHyáytʰām|ȷ́ānHtá|aȷ́naHyáytām|ȷ́naHyáHmadʰHaHy|aȷ́ānHwá|ȷ́naHyáywadʰHi|ȷ́ānHiHā́tʰām|ȷ́ānHwás|ȷ́naHyáyrant|ȷ́naHyátām|ȷ́naHyáyta|ȷ́naHyáyHātām|ȷ́naHyáytʰay|ȷ́ānHtʰás|ȷ́ānHiHdʰHwám|aȷ́ānáHtʰām	<i>verb</i><br><ol><li>to know</li></ol>
ȷ́ā́mātā|ȷ́ā́mātr̥	<i>noun</i><br><ol><li>son-in-law</li></ol>
ȷ́ā́nu|ȷ́ā́nuH|ȷ́ā́nāw?|ȷ́ā́naw|ȷ́ā́nubʰyaH|ȷ́ā́nuwaHs|ȷ́ā́nā?|ȷ́ā́nuwaw|ȷ́ā́naway|ȷ́ā́nubʰiš|ȷ́ā́nušu|ȷ́ā́nawš|ȷ́ā́nunām?|ȷ́ā́nubʰyas	<i>noun</i><br><ol><li>knee</li></ol>
ȷ́ʰansás|ȷ́ʰansaybʰyas|ȷ́ʰansāt|ȷ́ʰansam|ȷ́ʰansayās|ȷ́ʰansāns|ȷ́ʰansā|ȷ́ʰansānam|ȷ́ʰansas|ȷ́ʰansāyš|ȷ́ʰansāy|ȷ́ʰansānaHm|ȷ́ʰansay|ȷ́ʰansayaw|ȷ́ʰansaybʰyaH|ȷ́ʰansayšu|ȷ́ʰansa|ȷ́ʰansasya	<i>noun</i><br><ol><li>goose</li></ol>
ȷ́ʰarmyám	<i>noun</i><br><ol><li>permanent house, building</li></ol>
ȷ́ʰimás|ȷ́ʰimaybʰyas|ȷ́ʰimay|ȷ́ʰimayaw|ȷ́ʰimayšu|ȷ́ʰima|ȷ́ʰimāyš|ȷ́ʰimāt|ȷ́ʰimāns|ȷ́ʰimam|ȷ́ʰimasya|ȷ́ʰimā|ȷ́ʰimānaHm|ȷ́ʰimayās|ȷ́ʰimānam|ȷ́ʰimāy|ȷ́ʰimas|ȷ́ʰimaybʰyaH	<i>noun</i><br><ol><li>cold, frost</li><li>winter</li></ol>
ȷ́ʰr̥Hanyam	<i>noun</i><br><ol><li>gold</li></ol>
ȷ́ʰwáyati|3rd|ȷ́ʰwáyadʰHwam|aȷ́ʰwáyatam|ȷ́ʰwáyaydʰHwam|áȷ́ʰwayant|ȷ́ʰuHyáHmadʰHaHy|ȷ́ʰwáyayt|ȷ́ʰwayáHwadʰHaHy|ȷ́ʰuHyámHnas|aȷ́ʰwáyadʰHwam|aȷ́ʰuHyáHwadʰHi|ȷ́ʰwáyatām|ȷ́ʰwayáHmadʰHay|áȷ́ʰwayam|ȷ́ʰwáyatam|ȷ́ʰwayáyHātʰām|ȷ́ʰuHyádʰHway|ȷ́ʰwayaytʰay|ȷ́ʰwayatʰas|ȷ́ʰwayáHwadʰHay|aȷ́ʰuHyánta|ȷ́ʰwáyaytay|ȷ́ʰuHyáHy|ȷ́ʰuHyáswa|ȷ́ʰwáyatay|ȷ́ʰuHtás|aȷ́ʰuHyáy|aȷ́ʰuHyáta|ȷ́ʰwáyatas|ȷ́ʰwáyayHunt|aȷ́ʰwáyaHwa|ȷ́ʰwayasi|aȷ́ʰwáyaytʰām|ȷ́ʰwáyaymas|aȷ́ʰwáyatʰās|ȷ́ʰuHyáyHa|aȷ́ʰwáyatām|ȷ́ʰwáyaytām|ȷ́ʰwáyaHy|ȷ́ʰwayáyHātām|ȷ́ʰwáya|aȷ́ʰwáyata|áȷ́ʰwayat|aȷ́ʰwáyaytām|ȷ́ʰwáyanti|aȷ́ʰwáyaHma|aȷ́ʰuHyádʰHwam|aȷ́ʰwayáHmadʰHi|ȷ́ʰwáyaHmas|ȷ́ʰuHtwáH|ȷ́ʰuHyáytʰām|aȷ́ʰwáyanta|áȷ́ʰwayas|ȷ́ʰuHyáytay|ȷ́ʰwáyata|ȷ́ʰwayatʰa|ȷ́ʰwáyaywa|ȷ́ʰáwyas|ȷ́ʰwayasay|aȷ́ʰuHyáytām|ȷ́ʰuHyáywadʰHi|2nd|ȷ́ʰuHyántay|ȷ́ʰwáyaHwa|ȷ́ʰwáyantam|aȷ́ʰwayáHwadʰHi|ȷ́ʰwáyayta|ȷ́ʰwáyayrant|ȷ́ʰuHyáytām|ȷ́ʰwáyaytʰām|ȷ́ʰwayadʰHway|ȷ́ʰwáyaytʰās|ȷ́ʰuHyántam|ȷ́ʰwáyáywadʰHi|ȷ́ʰwáyaHmi|ȷ́ʰwáyaHma|ȷ́ʰwáyaHwas|aȷ́ʰuHyáHmadʰHi|ȷ́ʰwáyantu|ȷ́ʰuHyáydʰHwam|ȷ́uHyáyta|ȷ́ʰwáyant|ȷ́ʰwáyaswa|ȷ́ʰwáyáymadʰHi|ȷ́ʰwáyayHa|ȷ́ʰwáHtum|ȷ́ʰuHyátām|aȷ́ʰuHyátʰās|ȷ́ʰuHyátay|ȷ́ʰuHyádʰHwam|ȷ́ʰwáyatu|ȷ́ʰuHyáytʰay|ȷ́ʰuHyáHwadʰHay|ȷ́ʰwáyays|1st|ȷ́ʰwáyamHnas|ȷ́ʰuHyáymadʰHi|ȷ́ʰwáyayHam|ȷ́ʰuHyáy|ȷ́ʰwayáHmadʰHaHy|ȷ́ʰwáyay|ȷ́ʰuHyáHmadʰHay|ȷ́ʰwáyaytam|ȷ́ʰuHyásay|ȷ́ʰuHyáytʰās|áȷ́ʰwayay|aȷ́ʰuHyáytʰām|ȷ́ʰwáyaHni|ȷ́ʰuHyáyHātʰām|ȷ́ʰuHyáyrant|ȷ́ʰuHyáyHātām|ȷ́ʰuHyáHwadʰHaHy|ȷ́ʰwáyantay	<i>verb</i><br><ol><li>to call, summon</li></ol>
ȷ́ʰyás	<i>adv</i><br><ol><li>yesterday</li></ol>
ȷ́ʰángʰas|ȷ́ʰángʰānam|ȷ́ʰángʰam|ȷ́ʰángʰaybʰyaH|ȷ́ʰángʰāt|ȷ́ʰángʰāns|ȷ́ʰángʰāyš|ȷ́ʰángʰaybʰyas|ȷ́ʰángʰānaHm|ȷ́ʰángʰasya|ȷ́ʰángʰayšu|ȷ́ʰángʰā|ȷ́ʰángʰāy|ȷ́ʰángʰa|ȷ́ʰángʰay|ȷ́ʰángʰayaw|ȷ́ʰángʰayās	<i>noun</i><br><ol><li>(anatomy) ankle, shank</li></ol>
ȷ́ʰánuš	<i>noun</i><br><ol><li>jaw</li><li>chin</li></ol>
ȷ́ʰárHiš	<i>adj</i><br><ol><li>green</li></ol>
ȷ́ʰástas|ȷ́ʰástay|ȷ́ʰástam|ȷ́ʰástaybʰyas|ȷ́ʰástānaHm|ȷ́ʰástayšu|ȷ́ʰástasya|ȷ́ʰástayaw|ȷ́ʰástānam|ȷ́ʰástāt|ȷ́ʰástā|ȷ́ʰásta|ȷ́ʰástāy|ȷ́ʰástayās|ȷ́ʰástāyš|ȷ́ʰástāns|ȷ́ʰástaybʰyaH	<i>noun</i><br><ol><li>hand</li></ol>
ȷ́ʰáwtraH|ȷ́ʰáwtraHbʰiš|ȷ́ʰáwtraHbʰyām|ȷ́ʰáwtraHbʰyā|ȷ́ʰáwtraHsu|ȷ́ʰáwtrām|ȷ́ʰáwtrayaHy|ȷ́ʰáwtrāyās|ȷ́ʰáwtray|ȷ́ʰáwtrayaH|ȷ́ʰáwtrāyaw|ȷ́ʰáwtrās|ȷ́ʰáwtraHbʰyas|ȷ́ʰáwtrayaHs|ȷ́ʰáwtraHnām|ȷ́ʰáwtrayaHm	<i>noun</i><br><ol><li>libation, sacrifice</li></ol>
ȷ́ʰáwtram|ȷ́ʰáwtrāyās|ȷ́ʰáwtray|ȷ́ʰáwtrāyaw|ȷ́ʰáwtrānaHm|ȷ́ʰáwtrās|ȷ́ʰáwtraHbʰyas|ȷ́ʰáwtrāy|ȷ́ʰáwtrasya|ȷ́ʰáwtrayaHs|ȷ́ʰáwtrāyš|ȷ́ʰáwtraybʰyaH|ȷ́ʰáwtraHbʰiš|ȷ́ʰáwtraHbʰyām|ȷ́ʰáwtraHbʰyā|ȷ́ʰáwtraHsu|ȷ́ʰáwtrām|ȷ́ʰáwtrayšu|ȷ́ʰáwtrayaHm|ȷ́ʰáwtrayaw|ȷ́ʰáwtraH|ȷ́ʰáwtrāt|ȷ́ʰáwtrānam|ȷ́ʰáwtrayaHy|ȷ́ʰáwtrayaH|ȷ́ʰáwtrā|ȷ́ʰáwtraybʰyas|ȷ́ʰáwtraHnām|ȷ́ʰáwtrayās	<i>noun</i><br><ol><li>(religion) libation, offering, sacrifice</li></ol>
ȷ́ʰáwtā	<i>noun</i><br><ol><li>priest, offerer of oblations</li></ol>
ȷ́ʰáyas|ȷ́ʰáyāns|ȷ́ʰáya|ȷ́ʰáyāt|ȷ́ʰáyayšu|ȷ́ʰáyam|ȷ́ʰáyā|ȷ́ʰáyāy|ȷ́ʰáyasya|ȷ́ʰáyay|ȷ́ʰáyaybʰyas|ȷ́ʰáyayaw|ȷ́ʰáyānaHm|ȷ́ʰáyaybʰyaH|ȷ́ʰáyāyš|ȷ́ʰáyayās|ȷ́ʰáyānam	<i>noun</i><br><ol><li>horse</li></ol>
ȷ́ʰáyšas|ȷ́ʰáyšānaHm|ȷ́ʰáyšānam|ȷ́ʰáyšayšu|ȷ́ʰáyšaybʰyaH|ȷ́ʰáyša|ȷ́ʰáyšam|ȷ́ʰáyšāy|ȷ́ʰáyšay|ȷ́ʰáyšaybʰyas|ȷ́ʰáyšā|ȷ́ʰáyšasya|ȷ́ʰáyšayās|ȷ́ʰáyšayaw|ȷ́ʰáyšāyš|ȷ́ʰáyšāns|ȷ́ʰáyšāt	<i>noun</i><br><ol><li>missile</li></ol>
ȷ́ʰŕ̥dayam	<i>noun</i><br><ol><li>heart</li></ol>
