geeddaruu	<i>verb</i><br><ol><li>to exchange</li></ol>
geengoo	<i>noun</i><br><ol><li>circle</li></ol>
geggeessaa	<i>noun</i><br><ol><li>leader</li></ol>
geggeessuu	<i>verb</i><br><ol><li>to lead</li></ol>
giiftii	<i>noun</i><br><ol><li>lady</li></ol>
gingilchuu	<i>verb</i><br><ol><li>to sift</li></ol>
gochima	<i>noun</i><br><ol><li>verb</li></ol>
godaannisa	<i>noun</i><br><ol><li>bruise</li></ol>
godaansa	<i>noun</i><br><ol><li>migration</li></ol>
godaanuu	<i>verb</i><br><ol><li>to immigrate</li></ol>
gogaa	<i>noun</i><br><ol><li>skin</li></ol>
golloo	<i>noun</i><br><ol><li>(Afan Oromo) aardwolf</li></ol>
gommaa	<i>noun</i><br><ol><li>tire (for a wheel)</li></ol>
googa	<i>noun</i><br><ol><li>skin</li></ol>
goota	<i>adj</i><br><ol><li>brave</li></ol>
goraa	<i>noun</i><br><ol><li>berry</li></ol>
gorduba	<i>noun</i><br><ol><li>living room</li></ol>
gorra'uu	<i>verb</i><br><ol><li>to slaughter</li></ol>
gosa	<i>noun</i><br><ol><li>type, kind</li><li>tribe</li></ol>
