lentswe|mantswe	<i>noun</i><br><ol><li>voice</li></ol>
lenyalo|manyalo	<i>noun</i><br><ol><li>marriage</li><li>wedding</li></ol>
leoto|maoto	<i>noun</i><br><ol><li>foot</li></ol>
lepheo|mapheo	<i>noun</i><br><ol><li>wing (for flying)</li></ol>
lepolesa|mapolesa	<i>noun</i><br><ol><li>police officer</li></ol>
leqaqailane|maqaqailane	<i>noun</i><br><ol><li>ankle</li></ol>
leqheku|maqheku	<i>noun</i><br><ol><li>elderly person</li></ol>
leqhwa	<i>noun</i><br><ol><li>ice</li></ol>
lerao|marao	<i>noun</i><br><ol><li>buttock</li></ol>
lerato	<i>noun</i><br><ol><li>love</li></ol>
lero|maro	<i>noun</i><br><ol><li>cloud</li></ol>
lerole|marole	<i>noun</i><br><ol><li>dust</li></ol>
leru|maru	<i>noun</i><br><ol><li>cloud</li></ol>
leruarua|maruarua	<i>noun</i><br><ol><li>whale</li></ol>
lesaka|masaka	<i>noun</i><br><ol><li>kraal</li></ol>
lesapo|masapo	<i>noun</i><br><ol><li>bone</li></ol>
lesea|masea	<i>noun</i><br><ol><li>baby</li></ol>
lesedi	<i>noun</i><br><ol><li>light (electromagnetic wave)</li></ol>
leshodu|mashodu	<i>noun</i><br><ol><li>thief</li></ol>
leshome	<i>num</i><br><ol><li>ten</li></ol>
lesiba|masiba	<i>noun</i><br><ol><li>feather</li></ol>
letlaila|matlaila	<i>noun</i><br><ol><li>simpleton</li></ol>
letlalo|matlalo	<i>noun</i><br><ol><li>skin, hide (of a human or animal)</li></ol>
letlotlo|matlotlo	<i>noun</i><br><ol><li>treasure</li></ol>
letokomane|matokomane	<i>noun</i><br><ol><li>A peanut.</li></ol>
letsatsi|matsatsi	<i>noun</i><br><ol><li>day</li><li>sun</li></ol>
letsetse|matsetse	<i>noun</i><br><ol><li>flea</li></ol>
letsha|matsha	<i>noun</i><br><ol><li>lake</li></ol>
letso|matso	<i>noun</i><br><ol><li>derivation</li></ol>
letsoho|matsoho	<i>noun</i><br><ol><li>hand</li></ol>
letsolo	<i>noun</i><br><ol><li>lightning</li></ol>
letswai	<i>noun</i><br><ol><li>salt</li></ol>
letswele|matswele	<i>noun</i><br><ol><li>breast</li></ol>
lewatle|mawatle	<i>noun</i><br><ol><li>sea</li></ol>
lla	<i>verb</i><br><ol><li>to cry, to weep</li></ol>
loka	<i>verb</i><br><ol><li>to be right</li></ol>
lokolla	<i>verb</i><br><ol><li>to free</li><li>to deliver</li></ol>
loma	<i>verb</i><br><ol><li>to bite</li></ol>
lona	<i>pron</i><br><ol><li>you all</li></ol>
madi	<i>noun</i><br><ol><li>blood</li></ol>
mafura	<i>noun</i><br><ol><li>fat, oil, grease</li></ol>
makala	<i>verb</i><br><ol><li>to wonder</li></ol>
malome|bomalume	<i>noun</i><br><ol><li>maternal uncle</li></ol>
mamaretsa	<i>verb</i><br><ol><li>to glue</li></ol>
mamola	<i>verb</i><br><ol><li>to tear violently</li></ol>
mane	<i>adv</i><br><ol><li>yonder, over there; remote demonstrative adverb.</li></ol>
maneha	<i>verb</i><br><ol><li>to glue</li></ol>
manganga	<i>noun</i><br><ol><li>stubbornness</li></ol>
mantsibuya	<i>noun</i><br><ol><li>afternoon</li></ol>
mariha	<i>noun</i><br><ol><li>winter</li></ol>
masepa	<i>noun</i><br><ol><li>feces</li></ol>
matha	<i>verb</i><br><ol><li>to run</li></ol>
mathe	<i>noun</i><br><ol><li>saliva</li></ol>
matla	<i>noun</i><br><ol><li>strength, power</li></ol>
matlafala	<i>verb</i><br><ol><li>to become strong</li></ol>
mena	<i>verb</i><br><ol><li>to fold</li></ol>
menolla	<i>verb</i><br><ol><li>to unroll</li><li>to unglue</li></ol>
metsi	<i>noun</i><br><ol><li>water</li></ol>
mmadi|babadi	<i>noun</i><br><ol><li>reader</li></ol>
mmala|mebala	<i>noun</i><br><ol><li>color</li></ol>
mme|bomme	<i>conj</i><br><ol><li>and</li></ol><br><i>noun</i><br><ol><li>mother</li></ol>
mmele|mibele	<i>noun</i><br><ol><li>body</li></ol>
mmetso|mimetso	<i>noun</i><br><ol><li>throat</li></ol>
mmino|mebino	<i>noun</i><br><ol><li>music</li></ol>
mmoho	<i>adv</i><br><ol><li>together</li></ol>
mmuo|mebuo	<i>noun</i><br><ol><li>dialect</li></ol>
mmuso|mebuso	<i>noun</i><br><ol><li>government</li></ol>
mmutla|mebutla	<i>noun</i><br><ol><li>hare, rabbit</li></ol>
moahisane|baahisane	<i>noun</i><br><ol><li>neighbour</li></ol>
moahlodi|baahlodi	<i>noun</i><br><ol><li>judge</li></ol>
modimo|badimo	<i>noun</i><br><ol><li>god</li></ol>
modula	<i>noun</i><br><ol><li>pollen</li></ol>
modumo|medumo	<i>noun</i><br><ol><li>noise</li></ol>
moedi|meedi	<i>noun</i><br><ol><li>waterway</li></ol>
moela|meela	<i>noun</i><br><ol><li>stream</li></ol>
mohala|mehala	<i>noun</i><br><ol><li>rope</li></ol>
mohatla|mehatla	<i>noun</i><br><ol><li>tail</li></ol>
mohatsa|bahatsa	<i>noun</i><br><ol><li>husband, wife</li></ol>
mohau|mehau	<i>noun</i><br><ol><li>mercy</li></ol>
mohetene|bahetene	<i>noun</i><br><ol><li>heathen</li></ol>
mohlanka|bahlanka	<i>noun</i><br><ol><li>servant</li></ol>
mohlolohadi|bahlolohadi	<i>noun</i><br><ol><li>widow</li></ol>
mohlwa|mehlwa	<i>noun</i><br><ol><li>termite</li></ol>
mohodi|mehodi	<i>noun</i><br><ol><li>fog, mist</li></ol>
mohwe|bahwe	<i>noun</i><br><ol><li>father-in-law of a male</li></ol>
mohwete	<i>noun</i><br><ol><li>body hair</li></ol>
mokganni|bakganni	<i>noun</i><br><ol><li>driver</li></ol>
mokokotlo|mekokotlo	<i>noun</i><br><ol><li>(part of the body)</li></ol>
mokopu|mekopu	<i>noun</i><br><ol><li>pumpkin</li></ol>
mokoro|mekoro	<i>noun</i><br><ol><li>canoe, boat</li></ol>
mokorotlo|mekorotlo	<i>noun</i><br><ol><li>Sotho woven hat</li></ol>
mokoti|mekoti	<i>noun</i><br><ol><li>mine</li></ol>
mokotla|mekotla	<i>noun</i><br><ol><li>sack, bag</li></ol>
mokudi	<i>noun</i><br><ol><li>patient</li></ol>
molala|melala	<i>noun</i><br><ol><li>neck</li></ol>
molata|balata	<i>noun</i><br><ol><li>foreigner</li></ol>
molekodi|balekodi	<i>noun</i><br><ol><li>investigator</li></ol>
molemi|balemi	<i>noun</i><br><ol><li>farmer</li><li>gardener</li></ol>
mollo|mello	<i>noun</i><br><ol><li>fire</li></ol>
molomo|melomo	<i>noun</i><br><ol><li>mouth</li></ol>
mona	<i>adv</i><br><ol><li>here; proximal demonstrative adverb.</li></ol>
monna|banna	<i>noun</i><br><ol><li>man (human male)</li></ol>
monwana|menwana	<i>noun</i><br><ol><li>finger</li></ol>
monya	<i>verb</i><br><ol><li>to suck</li></ol>
monyako|menyako	<i>noun</i><br><ol><li>door</li></ol>
moo	<i>adv</i><br><ol><li>there; distal demonstrative adverb.</li></ol>
mooki|baoki	<i>noun</i><br><ol><li>nurse</li></ol>
moomo|meomo	<i>noun</i><br><ol><li>leg</li></ol>
moqoqo|meqoqo	<i>noun</i><br><ol><li>conversation</li></ol>
moraho	<i>noun</i><br><ol><li>behind</li></ol>
morao	<i>noun</i><br><ol><li>behind</li></ol>
morena|marena	<i>noun</i><br><ol><li>lord, chief, master, king</li></ol>
moriri|meriri	<i>noun</i><br><ol><li>hair</li></ol>
moru|meru	<i>noun</i><br><ol><li>forest</li></ol>
morui|barui	<i>noun</i><br><ol><li>rich person</li></ol>
moruo	<i>noun</i><br><ol><li>wealth</li></ol>
morutwana|barutwana	<i>verb</i><br><ol><li>student</li></ol>
morwetsana|barwetsana	<i>noun</i><br><ol><li>girl</li></ol>
mosadi|basadi	<i>noun</i><br><ol><li>woman</li><li>wife</li></ol>
mose	<i>noun</i><br><ol><li>overseas</li></ol>
