lodi	<i>adj</i><br><ol><li>stylish (of a young person)</li></ol>
loka	<i>noun</i><br><ol><li>banana</li></ol>
loke	<i>noun</i><br><ol><li>plug</li></ol>
lolita	<i>noun</i><br><ol><li>spoken sentence</li><li>language</li><li>comment</li></ol>
lolita sipa	<i>noun</i><br><ol><li>adjective</li></ol>
lomu	<i>noun</i><br><ol><li>fat</li></ol>
lonco	<i>noun</i><br><ol><li>cup; bowl</li></ol>
londo	<i>noun</i><br><ol><li>extension; expansion</li></ol>
lotu	<i>noun</i><br><ol><li>use</li></ol>
lou	<i>noun</i><br><ol><li>direction</li></ol>
lowe	<i>noun</i><br><ol><li>eagle</li></ol>
lowu	<i>noun</i><br><ol><li>pit</li></ol>
luba	<i>noun</i><br><ol><li>bracelet</li></ol>
lula	<i>noun</i><br><ol><li>albumen</li></ol>
luna	<i>noun</i><br><ol><li>pillow</li></ol>
lupu	<i>noun</i><br><ol><li>dwarf buffalo</li></ol>
malaeka	<i>noun</i><br><ol><li>angel</li></ol>
malunu	<i>noun</i><br><ol><li>(astronomy) Pleiades</li></ol>
mampo	<i>noun</i><br><ol><li>bat (animal)</li></ol>
manisa	<i>noun</i><br><ol><li>honey</li></ol>
manu	<i>noun</i><br><ol><li>chicken</li></ol>
marasawu	<i>noun</i><br><ol><li>rainbow</li></ol>
mari	<i>noun</i><br><ol><li>place for unhusked paddy</li><li>(anatomy) spleen</li></ol>
marisa	<i>noun</i><br><ol><li>pepper</li></ol>
masapi	<i>noun</i><br><ol><li>eel</li></ol>
masigi	<i>noun</i><br><ol><li>mosque</li></ol>
masina	<i>noun</i><br><ol><li>machine; generator</li></ol>
mata	<i>noun</i><br><ol><li>eye (organ)</li></ol>
mata eo	<i>noun</i><br><ol><li>east</li></ol>
mbira	<i>noun</i><br><ol><li>part; section</li></ol>
mbui	<i>adv</i><br><ol><li>also</li></ol>
mbulu	<i>noun</i><br><ol><li>(anatomy) shinbone</li></ol>
meja	<i>noun</i><br><ol><li>table</li></ol>
menobola	<i>noun</i><br><ol><li>bat (animal)</li></ol>
meo	<i>noun</i><br><ol><li>meow (sound of a cat)</li></ol>
minggu	<i>noun</i><br><ol><li>week (period of seven days)</li></ol>
morowe	<i>noun</i><br><ol><li>mango</li></ol>
nakaja	<i>adj</i><br><ol><li>hard; difficult; tough</li></ol>
nakakata	<i>adj</i><br><ol><li>itchy</li></ol>
nakakia	<i>adj</i><br><ol><li>doubtful; uncertain</li><li>reluctant</li></ol>
nakalimoma	<i>adj</i><br><ol><li>confused</li><li>senile</li></ol>
nakaloa	<i>adj</i><br><ol><li>empty</li><li>loose</li></ol>
nakamumu	<i>adj</i><br><ol><li>purple</li></ol>
nakaria	<i>adj</i><br><ol><li>rich; prosperous</li></ol>
nakawao	<i>adj</i><br><ol><li>far</li></ol>
nakeli	<i>adj</i><br><ol><li>blue; bright green</li></ol>
nakinda	<i>adj</i><br><ol><li>steep</li></ol>
nakodi	<i>adj</i><br><ol><li>small</li></ol>
nakodo	<i>adj</i><br><ol><li>stiff</li><li>frozen</li></ol>
nakono	<i>adj</i><br><ol><li>true</li><li>right; correct</li></ol>
nakoo	<i>adj</i><br><ol><li>hard</li></ol>
nakotoro	<i>adj</i><br><ol><li>dirty</li></ol>
nakuni	<i>adj</i><br><ol><li>yellow</li><li>pale; pale-faced</li></ol>
nalala	<i>adj</i><br><ol><li>hot; spicy</li></ol>
nalalo	<i>adj</i><br><ol><li>barren</li><li>infertile</li></ol>
nalanga	<i>adj</i><br><ol><li>long</li></ol>
nalangko	<i>adj</i><br><ol><li>tall</li></ol>
nalangu	<i>adj</i><br><ol><li>drunk</li></ol>
nalei	<i>adj</i><br><ol><li>red</li></ol>
nalele	<i>adj</i><br><ol><li>wilted; limp</li></ol>
nalendu	<i>adj</i><br><ol><li>hidden; covered</li></ol>
nalenge	<i>adj</i><br><ol><li>worn out; tired</li></ol>
nalengi	<i>adj</i><br><ol><li>cold</li></ol>
naleo	<i>adj</i><br><ol><li>weak; faint</li></ol>
nalera	<i>adj</i><br><ol><li>late</li></ol>
naligoa	<i>adj</i><br><ol><li>nauseous</li></ol>
nalilore	<i>adj</i><br><ol><li>slippery</li></ol>
nalimpu	<i>adj</i><br><ol><li>dizzy</li></ol>
nalimpusa	<i>adj</i><br><ol><li>stiflingly hot</li></ol>
naloa	<i>adj</i><br><ol><li>free; not bound</li></ol>
naloe	<i>adj</i><br><ol><li>very ripe (of fruit)</li></ol>
naloga	<i>adj</i><br><ol><li>free from work; at leisure</li></ol>
nalolo	<i>adj</i><br><ol><li>sunk</li></ol>
