ilal|ilál	<i>noun</i><br><ol><li>(anatomy) thigh</li></ol>
ilug	<i>noun</i><br><ol><li>egg</li></ol>
iraw|iráw	<i>noun</i><br><ol><li>snake</li></ol>
kaddat|kaddát	<i>noun</i><br><ol><li>grass</li></ol>
kaiwan|káiwan	<i>adj</i><br><ol><li>far</li></ol>
kalamansi	<i>noun</i><br><ol><li>calamondin; calamansi (Citrus × microcarpa, syn. ×Citrofortunella mitis)</li></ol>
kam	<i>pron</i><br><ol><li>you (plural)</li></ol>
kamasit	<i>noun</i><br><ol><li>tomato</li></ol>
kamat|kamát	<i>noun</i><br><ol><li>(anatomy) hand</li></ol>
kamay|kamáy	<i>noun</i><br><ol><li>baby louse</li></ol>
kami	<i>pron</i><br><ol><li>we (exclusive of the person spoken to)</li></ol>
kamosi	<i>noun</i><br><ol><li>sweet yam</li></ol>
kamug|kamúg	<i>noun</i><br><ol><li>mosquito</li></ol>
kandelat	<i>noun</i><br><ol><li>candle</li></ol>
kannit|kannít	<i>noun</i><br><ol><li>bedbug</li></ol>
kapat|kapát	<i>noun</i><br><ol><li>cotton</li></ol>
kapitta	<i>noun</i><br><ol><li>cousin</li></ol>
karalang|karaláng	<i>noun</i><br><ol><li>earthworm</li></ol>
karalet|karalét	<i>noun</i><br><ol><li>side; edge; bank</li></ol>
karalong|karalóng	<i>noun</i><br><ol><li>(anatomy) throat</li></ol>
karne	<i>noun</i><br><ol><li>meat</li></ol>
karneru	<i>noun</i><br><ol><li>sheep</li></ol>
karruba	<i>noun</i><br><ol><li>neighbor</li></ol>
kasafego	<i>noun</i><br><ol><li>match (for lighting candles, cigars, etc.)</li></ol>
kasat|kasát	<i>noun</i><br><ol><li>shortcut</li></ol>
kassandi	<i>pron</i><br><ol><li>(interrogative) how</li></ol>
kassib|kassíb	<i>noun</i><br><ol><li>bite</li></ol>
kasta	<i>noun</i><br><ol><li>beauty</li></ol>
katal|katál	<i>noun</i><br><ol><li>itch</li></ol>
kattut|kattút	<i>noun</i><br><ol><li>surprise</li></ol>
katugangan|katugangán	<i>noun</i><br><ol><li>parent-in-law</li></ol>
kawad	<i>noun</i><br><ol><li>chain</li></ol>
kawan|kawán	<i>noun</i><br><ol><li>typhoon</li></ol>
kawayan	<i>noun</i><br><ol><li>bamboo</li></ol>
kawit	<i>noun</i><br><ol><li>hook</li></ol>
kayang|kayáng	<i>adj</i><br><ol><li>lazy</li></ol>
kayu|kayú	<i>noun</i><br><ol><li>tree</li><li>wood</li></ol>
kayung	<i>noun</i><br><ol><li>brother-in-law (wife's brother)</li></ol>
kepal	<i>noun</i><br><ol><li>infected nail (fingernail or toenail)</li></ol>
kerrit	<i>noun</i><br><ol><li>a scratch</li></ol>
kibu	<i>noun</i><br><ol><li>mixture</li></ol>
kidag	<i>noun</i><br><ol><li>(anatomy) elbow</li></ol>
kilakilat|kilákilát	<i>noun</i><br><ol><li>lightning</li></ol>
kilikili|kílikíli	<i>noun</i><br><ol><li>(anatomy) armpit</li></ol>
kimat|kimát	<i>noun</i><br><ol><li>eyelash</li></ol>
kimi|kimí	<i>noun</i><br><ol><li>cockroach</li></ol>
kiring|kiríng	<i>noun</i><br><ol><li>ring (of a telephone)</li></ol>
kisame|kísame	<i>noun</i><br><ol><li>ceiling</li></ol>
kitam	<i>pron</i><br><ol><li>we (inclusive of the person spoken to)</li></ol>
kobeta	<i>noun</i><br><ol><li>toilet</li></ol>
kokwa	<i>noun</i><br><ol><li>chocolate</li></ol>
kolak	<i>noun</i><br><ol><li>friend</li></ol>
kolgeit	<i>noun</i><br><ol><li>toothpaste</li></ol>
kongit	<i>noun</i><br><ol><li>noise; sound</li></ol>
kopya	<i>noun</i><br><ol><li>copy</li></ol>
korte	<i>noun</i><br><ol><li>court (of law)</li></ol>
koryente	<i>noun</i><br><ol><li>electricity</li></ol>
kosetyero	<i>noun</i><br><ol><li>farmer</li></ol>
kosina	<i>noun</i><br><ol><li>kitchen</li></ol>
kotye	<i>noun</i><br><ol><li>car</li></ol>
kugipa|kugipá	<i>noun</i><br><ol><li>dandruff</li></ol>
kuku|kukú	<i>noun</i><br><ol><li>nail; claw; hoof</li><li>possession</li></ol>
kulikug|kulikúg	<i>noun</i><br><ol><li>fever</li></ol>
kulut|kulút	<i>adj</i><br><ol><li>curly</li></ol>
kumpay|kumpáy	<i>noun</i><br><ol><li>(curved) scythe</li></ol>
kundag|kundág	<i>adj</i><br><ol><li>slippery</li></ol>
kurap|kuráp	<i>noun</i><br><ol><li>flicker</li></ol>
kurba	<i>noun</i><br><ol><li>curve</li></ol>
kurbata	<i>noun</i><br><ol><li>necktie</li></ol>
kurtina	<i>noun</i><br><ol><li>curtain</li></ol>
kuruga|kurugá	<i>adv</i><br><ol><li>too</li></ol>
kurus|kurús	<i>noun</i><br><ol><li>cross</li></ol>
kuryat|kuryát	<i>noun</i><br><ol><li>cricket</li></ol>
kusa|kusá	<i>noun</i><br><ol><li>cat</li></ol>
kusut|kusút	<i>noun</i><br><ol><li>sawdust; wood shaving</li></ol>
kutu|kutú	<i>noun</i><br><ol><li>louse (insect)</li></ol>
kutyilyu	<i>noun</i><br><ol><li>knife</li></ol>
labu	<i>noun</i><br><ol><li>fight</li></ol>
labwag|labwág	<i>noun</i><br><ol><li>bastard</li></ol>
lagunut|lágunut	<i>noun</i><br><ol><li>riddle</li></ol>
lakay	<i>noun</i><br><ol><li>grandfather</li></ol>
lalaki|lalakí	<i>noun</i><br><ol><li>male; man</li></ol>
langit|langít	<i>noun</i><br><ol><li>sky</li></ol>
lanut|lanút	<i>noun</i><br><ol><li>vine</li></ol>
lapis	<i>noun</i><br><ol><li>pencil</li></ol>
lappang|lappáng	<i>noun</i><br><ol><li>owl</li></ol>
