kassinag	<i>noun</i><br><ol><li>summer; dry season</li><li>year</li></ol>
kattad	<i>noun</i><br><ol><li>mountain leech</li></ol>
katupu	<i>noun</i><br><ol><li>riverine mollusk</li></ol>
kawitan	<i>noun</i><br><ol><li>cock; rooster</li></ol>
kaykay	<i>noun</i><br><ol><li>broom</li></ol>
kemokasan	<i>noun</i><br><ol><li>new year; change of years</li></ol>
ken	<i>noun</i><br><ol><li>skirt</li></ol>
keskes	<i>noun</i><br><ol><li>fish scale</li></ol>
kidap|kidáp	<i>noun</i><br><ol><li>(anatomy) forehead; face; head</li></ol>
kilat	<i>noun</i><br><ol><li>lightning</li></ol>
kiray	<i>noun</i><br><ol><li>(anatomy) eyebrow</li></ol>
kitatung	<i>noun</i><br><ol><li>mange; skin disease in which the skin is bumpy</li></ol>
kolkog	<i>adj</i><br><ol><li>bald; bald-headed</li></ol>
kublang	<i>noun</i><br><ol><li>scar</li></ol>
kuditdit	<i>noun</i><br><ol><li>small mushroom that sprouts on dead trees</li></ol>
kugita	<i>noun</i><br><ol><li>octopus</li></ol>
kulat	<i>noun</i><br><ol><li>mushroom that grows from a dead tree</li></ol>
kulaw	<i>noun</i><br><ol><li>owl</li></ol>
kulukol	<i>noun</i><br><ol><li>shout</li></ol>
kumaget	<i>verb</i><br><ol><li>to bite</li></ol>
kumagi	<i>verb</i><br><ol><li>to make noise</li></ol>
kuret-kuret	<i>noun</i><br><ol><li>cricket</li></ol>
kurinnat	<i>noun</i><br><ol><li>money</li></ol>
kutu	<i>noun</i><br><ol><li>louse</li></ol>
kuyang	<i>noun</i><br><ol><li>mouse; rat</li></ol>
labunugen	<i>noun</i><br><ol><li>(anatomy) upper arm</li></ol>
lahag	<i>noun</i><br><ol><li>(anatomy) testicle</li></ol>
laki	<i>noun</i><br><ol><li>squid</li></ol>
lakop	<i>noun</i><br><ol><li>sky</li></ol>
laksang	<i>noun</i><br><ol><li>step; pace; stride</li></ol>
lallaki	<i>noun</i><br><ol><li>male; man</li></ol>
lammod	<i>noun</i><br><ol><li>toothless person</li></ol>
langas|langás	<i>noun</i><br><ol><li>(anatomy) forehead; face</li></ol>
langet	<i>noun</i><br><ol><li>sky</li></ol>
lannag	<i>noun</i><br><ol><li>plain; level ground</li></ol>
lapag	<i>noun</i><br><ol><li>paddle; oar</li></ol>
lapnit	<i>noun</i><br><ol><li>tree with bark used to make string</li></ol>
lassak	<i>noun</i><br><ol><li>blindness</li></ol>
lassong	<i>noun</i><br><ol><li>mortar</li></ol>
lasuna	<i>noun</i><br><ol><li>onion</li></ol>
lati	<i>noun</i><br><ol><li>rattan</li></ol>
lattag	<i>noun</i><br><ol><li>stomach; belly</li></ol>
latugat	<i>noun</i><br><ol><li>disease; fever; long illness</li></ol>
laya	<i>noun</i><br><ol><li>ginger</li></ol>
layag	<i>noun</i><br><ol><li>sail (of a boat)</li></ol>
leg	<i>noun</i><br><ol><li>neck; throat</li></ol>
lelle	<i>noun</i><br><ol><li>butterfly</li></ol>
lendum	<i>noun</i><br><ol><li>shade</li></ol>
libalbang	<i>noun</i><br><ol><li>cemetery</li></ol>
libbew	<i>noun</i><br><ol><li>top; surface</li></ol>
ligas	<i>noun</i><br><ol><li>traditional basket with a lid</li></ol>
liggu	<i>noun</i><br><ol><li>week</li><li>Sunday</li></ol>
lilen	<i>noun</i><br><ol><li>beeswax</li></ol>
lima|líma	<i>num</i><br><ol><li>five</li></ol>
limutu	<i>noun</i><br><ol><li>pus</li></ol>
lipat	<i>noun</i><br><ol><li>small river leech that can get into the eyes, nose, and ears</li></ol>
lipat-lipat	<i>noun</i><br><ol><li>firefly</li></ol>
liwat	<i>noun</i><br><ol><li>mistake; error; fault; sin</li></ol>
liyad	<i>noun</i><br><ol><li>faraway place</li></ol>
liyod|liyód	<i>noun</i><br><ol><li>ladle</li></ol>
lobugen	<i>noun</i><br><ol><li>lobster</li></ol>
lodag	<i>noun</i><br><ol><li>mud</li></ol>
lollo	<i>noun</i><br><ol><li>butterfly</li></ol>
lubid	<i>noun</i><br><ol><li>rope</li></ol>
lubok	<i>noun</i><br><ol><li>middle; center</li></ol>
lugen	<i>noun</i><br><ol><li>vehicle</li></ol>
luket	<i>noun</i><br><ol><li>mud</li></ol>
lumot|lumót	<i>noun</i><br><ol><li>moss (plants of the division Bryophyta)</li></ol>
lupas	<i>noun</i><br><ol><li>rice husk</li></ol>
lupog	<i>noun</i><br><ol><li>old man</li><li>husband</li></ol>
lusak	<i>noun</i><br><ol><li>mud</li></ol>
lutak	<i>noun</i><br><ol><li>earth; ground; land</li></ol>
luwa|luwá	<i>noun</i><br><ol><li>tear</li></ol>
maabew	<i>adj</i><br><ol><li>cool; lukewarm</li></ol>
maalap	<i>adj</i><br><ol><li>hungry</li></ol>
maalsap	<i>adj</i><br><ol><li>foggy; misty</li></ol>
maanteng	<i>adj</i><br><ol><li>afraid</li></ol>
maarob	<i>adj</i><br><ol><li>smelly; bad-smelling</li></ol>
maasngaw	<i>adj</i><br><ol><li>steamy</li></ol>
maasok	<i>adj</i><br><ol><li>smoky</li></ol>
maassap	<i>adj</i><br><ol><li>shallow (as of water)</li></ol>
mabangog	<i>adj</i><br><ol><li>fragrant; sweet-smelling</li></ol>
mabannag	<i>adj</i><br><ol><li>tired; exhausted; overworked</li></ol>
mabaw	<i>noun</i><br><ol><li>cooked rice</li></ol>
mabesa	<i>adj</i><br><ol><li>wet</li></ol>
mabinag	<i>adj</i><br><ol><li>strong</li></ol>
mabinakekaw	<i>adj</i><br><ol><li>noisy</li></ol>
mabtong	<i>adj</i><br><ol><li>deep (as of water)</li></ol>
mabuktet	<i>adj</i><br><ol><li>pregnant</li></ol>
maburong	<i>adj</i><br><ol><li>worried</li></ol>
mabuyot	<i>adj</i><br><ol><li>fast, as when one is running</li></ol>
madalang|madaláng	<i>noun</i><br><ol><li>non-Agta person (especially an Ilocano)</li></ol>
madideg	<i>adj</i><br><ol><li>red</li></ol>
madiket	<i>noun</i><br><ol><li>bachelorette; unmarried woman, especially a young one</li></ol>
madiklam	<i>adj</i><br><ol><li>dark (said of the sky)</li></ol>
madipa	<i>noun</i><br><ol><li>Asian palm civet, Paradoxurus hermaphroditus</li></ol>
madiram	<i>adj</i><br><ol><li>dark</li></ol>
madiyag	<i>noun</i><br><ol><li>food</li></ol>
madiyu	<i>adj</i><br><ol><li>far</li></ol>
madulaw	<i>adj</i><br><ol><li>red</li></ol>
magasnga	<i>verb</i><br><ol><li>to blow nose</li></ol>
magbuybuy	<i>verb</i><br><ol><li>to tell a story</li></ol>
magdaget	<i>verb</i><br><ol><li>to sew</li></ol>
magdigi	<i>verb</i><br><ol><li>to menstruate</li></ol>
magdiyag	<i>verb</i><br><ol><li>to eat</li></ol>
magdulaw	<i>verb</i><br><ol><li>to shout; to call out</li></ol>
magdurog	<i>verb</i><br><ol><li>to stay close together, to live together, to sleep next to, to be side by side</li></ol>
magenak	<i>verb</i><br><ol><li>to give birth</li></ol>
maggabben	<i>verb</i><br><ol><li>to sneeze</li></ol>
maggas	<i>adj</i><br><ol><li>spicy</li><li>strong (as of liquor, tobacco, or coffee)</li></ol>
maggasak	<i>verb</i><br><ol><li>to die</li></ol>
maggulam	<i>verb</i><br><ol><li>to play</li></ol>
maggunak	<i>verb</i><br><ol><li>to have sexual intercourse</li></ol>
maghaldu	<i>verb</i><br><ol><li>to hiccup</li></ol>
magkaddut	<i>verb</i><br><ol><li>to pinch</li></ol>
magkagi	<i>verb</i><br><ol><li>to speak; to talk</li></ol>
maglangoy	<i>verb</i><br><ol><li>to swim</li></ol>
maglutu	<i>verb</i><br><ol><li>to cook (especially rice)</li></ol>
