(H)ísus	<i>noun</i><br><ol><li>arrow</li></ol>
udrós|udróey|udréh₂es|udréh₂oHom|udréad|udréh₂s|udréh₂i|udróm|udréh₂|udréh₂h₁e|udróes|udróyh₁|udréh₂su|udréh₂h₁|udréh₂ey|udrā́m|udróh₁|udréh₂m̥s|udrṓys|udrósyo|udróy|udréh₂bʰi|udréy|udróms|udrómos|udróysu|udróHom|udréh₂mos|udré	<i>adj</i><br><ol><li>of water, aquatic</li><li>otter</li></ol>
uksḗn|uksn̥mós|uksénes|uksnóHom|uksénh₁|uksn̥bʰí|uksn̥sú|uksnés|ukséni|uksénm̥|uksénh₁e|uksnéy|uksnéh₁|uksén|uksénm̥s	<i>noun</i><br><ol><li>bull</li></ol>
upér	<i>adv</i><br><ol><li>above</li><li>over</li></ol>
upéri	<i>adv</i><br><ol><li>Alternative reconstruction of *upér</li></ol>
upó	<i>adv</i><br><ol><li>under, below</li></ol>
waylos|wayloms|wayloysu|waylead|wayloey|waylōys|wayle|waylosyo|wayloHom|wayloh₁|waylomos|wayley|wayloy|waylom|wayloes	<i>noun</i><br><ol><li>wolf</li><li>howler</li></ol>
weh₁ros|weh₁reh₂s|weh₁re|weh₁rosyo|weh₁reh₂h₁e|weh₁reh₂mos|weh₁rey|weh₁reh₂su|weh₁reh₂h₁|weh₁reh₂m̥s|weh₁royh₁|weh₁reh₂bʰi|weh₁reh₂es|weh₁roHom|weh₁roh₁|weh₁rōys|weh₁reh₂ey|weh₁read|weh₁roysu|weh₁roey|weh₁rām|weh₁reh₂|weh₁roes|weh₁reh₂i|weh₁romos|weh₁reh₂oHom|non-ablauting|weh₁roms|weh₁roy|weh₁rom	<i>adj</i><br><ol><li>true</li></ol>
wek(ʷ)speros|wekʷsperoysu|weksperomos|wekʷsperey|wekʷsperōys|wekʷsperoms|wekʷsperead|wekʷsperoh₁|wekʷspere|weksperōys|wekʷsperoes|weksperoey|wekʷsperoey|weksperosyo|weksperoy|weksperoes|wekʷsperoy|wekʷsperoHom|wek (ʷ)speros|weksperoh₁|weksperos|wekʷsperom|weksperoHom|weksperead|weksperey|weksperoysu|weksperoms|wekʷsperomos|wekʷsperosyo|wekspere|wekʷsperos|weksperom	<i>noun</i><br><ol><li>evening</li></ol>
werdʰh₁om|werdʰh₁ey|werdʰh₁oey|werdʰh₁oh₁|werdʰh₁ōys|werdʰh₁eh₂|werdʰh₁omos|werdʰh₁oHom|werdʰh₁ead|werdʰh₁oy|werdʰh₁osyo|werdʰh₁oyh₁|werdʰh₁oysu	<i>noun</i><br><ol><li>word</li></ol>
wewórte|wewr̥tḗr|wewórttu|wewr̥tté|wewr̥tih₁tā́m|wewr̥tyéh₁s|wewértonti|wewr̥ttā́m|wewérteti|wewr̥téntu|wewr̥tyéh₁t|wewr̥tdʰí|wewr̥twṓs|wewr̥tih₁ént|wewórtth₂e|wewórt|wewórth₂e|wewértesi|wewr̥tyéh₁m̥|wewértowos|wewértete|wewr̥tih₁wé|wewr̥tmé|wewr̥tih₁té|wewr̥ttóm|wewértomos|wewr̥té|wewr̥twé|wewr̥tih₁tóm|wewértetes|wewr̥tih₁mé|wewértoh₂	<i>verb</i><br><ol><li>to be turned towards</li></ol>
wi	<i>adv</i><br><ol><li>apart, asunder</li><li>away from, against</li></ol>
wiHrós|wiHróm|wiHróms|wiHrósyo|wiHróey|wiHréy|wiHróysu|wiHrómos|wiHré|wiHróh₁|wiHróHom|wiHróy|wiHróes|wiHrṓys|wiHréad	<i>noun</i><br><ol><li>man</li><li>husband</li><li>warrior, hero</li></ol>
widtós|widtóy|widtéh₂mos|widtéh₂i|widtéh₂s|widtéh₂ey|widtéh₂bʰi|widtṓys|widtómos|widtā́m|widtéh₂oHom|widtéh₂h₁|widtóey|widtóHom|widtéh₂m̥s|widtósyo|widtóyh₁|widté|widtóm|widtóysu|widtéh₂es|widtéy|widtóms|widtóh₁|non-ablauting|widtéad|widtéh₂|widtéh₂su|widtóes|widtéh₂h₁e	<i>adj</i><br><ol><li>seen</li><li>known</li></ol>
wisós	<i>noun</i><br><ol><li>poison</li><li>slime</li></ol>
wiḱpótis	<i>noun</i><br><ol><li>clan chief</li><li>master of a household</li><li>lord</li></ol>
wl̥kʷíh₂s|wl̥kʷíh₂h₁e|wl̥kʷíh₂es|wl̥kʷíh₂|wl̥kʷíh₂m̥s|wl̥kʷih₂sú|wl̥kʷih₂bʰí|wl̥kʷih₂mós|wl̥kʷíh₂h₁|wl̥kʷíh₂i|wl̥kʷih₂és|wl̥kʷih₂éy|wl̥kʷih₂éh₁|wl̥kʷih₂óHom|wl̥kʷíh₂m̥	<i>noun</i><br><ol><li>she-wolf</li></ol>
wortéyeti|wortéyēte|wortéyoh₂er|wortéyoyh₁n̥t|wortéyōwos|wortéyoyte|wortéyoywedʰh₂|wortéyoyh₁m̥|wortéyōmosdʰh₂|wortéyoytām|wortéyonto|wortéyōror|wortéyēsi|wortéyeth₂e|wortéyoyro|wortéyōnti|wortéyēti|wortéyont|wortéyomosdʰh₂|wortéyontu|wortéyetor|wortéyowosdʰh₂|wortéyowedʰh₂|wortéyētor|wortéyoh₂|wortéyoywe|wortéyonti|wortéyēth₂er|wortéyowe|wortéyēdʰh₂we|wortéyoymedʰh₂|wortéyeso|wortéyontor|wortéyōmos|wortéyesi|wortéyētes|wortéyoro|wortéyōh₂|wortéyoys|wortéyoyh₂e|wortéyedʰh₂we|wortéyonts|wortéyetām|wortéyoyme|wortéyomedʰh₂|wortéyoyh₁n̥to|wortéyoyh₁o|wortéyom|wortéyōh₂er|wortéye|wortéyoyth₂e|wortéyoyto|wortéyōwosdʰh₂|wortéyoh₂e|wortéyet|wortéyowos|wortéyoydʰh₂we|wortéyeto|wortéyoror|wortéyeth₂er|wortéyetu|wortéyetom|wortéyete|wortéyes|wortéyoyt|wortéyomos|wortéyōntor|wortéyome|wortéyoytom|wortéyetes|wortéyomnos	<i>verb</i><br><ol><li>to turn (transitive)</li></ol>
woséyeti|woséyoyh₁o|woséyomnos|woséyoydʰh₂we|woséyōntor|woséyonts|woséyētor|woséyoh₂er|woséyoyh₂e|woséyedʰh₂we|woséyoyh₁n̥t|woséyeso|woséyom|woséyēth₂er|woséyoywedʰh₂|woséyētes|woséyesi|woséyoywe|woséyoyme|woséyōror|woséyōmos|woséyoyh₁m̥|woséyes|woséyoytām|woséyowos|woséyōwosdʰh₂|woséyoyt|woséyowedʰh₂|woséyoh₂|woséyoh₂e|woséyeth₂e|woséyoyte|woséyoyth₂e|woséyowosdʰh₂|woséyoror|woséyomosdʰh₂|woséyetu|woséyetor|woséyoyto|woséyete|woséyōnti|woséyeto|woséyēsi|woséyomos|woséyoymedʰh₂|woséyōh₂|woséyontor|woséye|woséyoys|woséyoro|woséyēdʰh₂we|woséyoyro|woséyetom|woséyomedʰh₂|woséyōmosdʰh₂|woséyont|woséyonto|woséyowe|woséyoyh₁n̥to|woséyetes|woséyome|woséyeth₂er|woséyetām|woséyoytom|woséyontu|woséyet|woséyēte|woséyēti|woséyōh₂er|woséyōwos|woséyonti	<i>verb</i><br><ol><li>to clothe, to put clothes onto</li></ol>
woḱéh₂|woḱéh₂h₁e|woḱéh₂bʰi|woḱéh₂s|woḱéh₂m̥s|woḱéh₂mos|woḱéh₂su|woḱéh₂i|woḱéh₂oHom|woḱéh₂es|woḱéh₂h₁|woḱéh₂ey|woḱā́m	<i>noun</i><br><ol><li>(female) cow</li></ol>
wréh₂ds|wréh₂di|wr̥h₂dsú|wréh₂dm̥s|wréh₂dh₁|wr̥h₂déy|wréh₂dh₁e|wr̥h₂dóHom|wréh₂des|wr̥h₂dés|wr̥h₂dmós|wr̥h₂déh₁|wréh₂d|wréh₂dm̥|wr̥h₂dbʰí	<i>noun</i><br><ol><li>root</li></ol>
wr̥h₁ḗn|wr̥h₁énes|wr̥h₁énh₁|wr̥h₁én|wr̥h₁nóHom|wr̥h₁nmós|wr̥h₁néy|wr̥h₁éni|wr̥h₁énm̥s|wr̥h₁énh₁e|wr̥h₁nsú|wr̥h₁nés|wr̥h₁nbʰí|wr̥h₁néh₁|wr̥h₁énm̥	<i>noun</i><br><ol><li>lamb in general, or more probably only the male, ram.</li></ol>
wr̥mis	<i>noun</i><br><ol><li>worm</li></ol>
wr̥ǵtós|wr̥ǵtóey|wr̥ǵtéh₂i|wr̥ǵtéh₂oHom|wr̥ǵtā́m|wr̥ǵtóh₁|wr̥ǵtéy|wr̥ǵtéh₂h₁|wr̥ǵtómos|wr̥ǵtṓys|wr̥ǵtóysu|wr̥ǵtósyo|wr̥ǵtéh₂ey|wr̥ǵtéh₂bʰi|wr̥ǵtóes|wr̥ǵtóy|wr̥ǵtéh₂su|wr̥ǵtóms|wr̥ǵtéh₂es|wr̥ǵtéh₂|wr̥ǵtóyh₁|wr̥ǵtéh₂s|wr̥ǵtéh₂m̥s|non-ablauting|wr̥ǵtéh₂mos|wr̥ǵté|wr̥ǵtéh₂h₁e|wr̥ǵtóHom|wr̥ǵtóm|wr̥ǵtéad	<i>adj</i><br><ol><li>worked, fashioned</li></ol>
wr̥ǵyéti|wr̥ǵyṓnti|wr̥ǵyóyte|wr̥ǵyóyme|wr̥ǵyṓror|wr̥ǵyṓwos|wr̥ǵyóyh₁n̥to|wr̥ǵyḗsi|wr̥ǵyóyto|wr̥ǵyṓmosdʰh₂|wr̥ǵyḗdʰh₂we|wr̥ǵyówos|wr̥ǵyḗth₂er|wr̥ǵyówe|wr̥ǵyómosdʰh₂|wr̥ǵyówedʰh₂|wr̥ǵyómedʰh₂|wr̥ǵyóydʰh₂we|wr̥ǵyóymedʰh₂|wr̥ǵyóntu|wr̥ǵyétes|wr̥ǵyétu|wr̥ǵyési|wr̥ǵyḗti|wr̥ǵyóytām|wr̥ǵyéto|wr̥ǵyéth₂e|wr̥ǵyóyh₂e|wr̥ǵyóyro|wr̥ǵyóh₂|wr̥ǵyóyt|wr̥ǵyóytom|wr̥ǵyóntor|wr̥ǵyét|wr̥ǵyóro|wr̥ǵyéso|wr̥ǵyómos|wr̥ǵyónts|wr̥ǵyétām|wr̥ǵyéth₂er|wr̥ǵyóm|wr̥ǵyóh₂e|wr̥ǵyówosdʰh₂|wr̥ǵyḗtor|wr̥ǵyédʰh₂we|wr̥ǵyḗte|wr̥ǵyétom|wr̥ǵyés|wr̥ǵyóyth₂e|wr̥ǵyónt|wr̥ǵyóywedʰh₂|wr̥ǵyóys|wr̥ǵyóyh₁o|wr̥ǵyóme|wr̥ǵyṓh₂|wr̥ǵyéte|wr̥ǵyóywe|wr̥ǵyé|wr̥ǵyónti|wr̥ǵyétor|wr̥ǵyṓmos|wr̥ǵyṓh₂er|wr̥ǵyṓwosdʰh₂|wr̥ǵyóyh₁m̥|wr̥ǵyṓntor|wr̥ǵyóyh₁n̥t|wr̥ǵyóror|wr̥ǵyómnos|wr̥ǵyḗtes|wr̥ǵyóh₂er|wr̥ǵyónto	<i>verb</i><br><ol><li>to be working, to be at work</li></ol>
wáy	<i>intj</i><br><ol><li>oh!</li><li>ah!</li><li>woe!</li><li>alas!</li></ol>
wéh₁imn̥|uh₁iménh₁|uh₁iméney|uh₁imén|uh₁ym̥néy|uh₁ym̥néh₁|wéh₁ym̥nih₁|uh₁iméni|wéh₁imō|uh₁iméns|uh₁ym̥nés	<i>noun</i><br><ol><li>that which is twisted, plaiting</li></ol>
wéh₁itis|wéh₁itims|wéh₁iti|uh₁itḗy|uh₁itísu|wéh₁itim|uh₁itímos|uh₁itíbʰi|wéh₁itih₁|uh₁itéyey|uh₁itéy|wéh₁itih₁e|uh₁itéys|uh₁itéyoHom|uh₁itíh₁|wéh₁iteyes	<i>noun</i><br><ol><li>that which twines or bends</li><li>branch, switch</li></ol>
wérsēn|wérsenh₁e|wr̥snés|wr̥snéh₁|wr̥snóHom|wr̥sn̥sú|wérsenm̥|wérsenes|wérsen|wérsenm̥s|wr̥sn̥mós|wérseni|wr̥sn̥bʰí|wr̥snéy|wérsenh₁	<i>noun</i><br><ol><li>virile man</li><li>male animal</li></ol>
wértti|wr̥ttā́m|wr̥tih₁tā́m|wr̥tih₁tóm|wr̥tént|wértoh₂|wr̥tónts|wr̥tih₁wé|wérteti|wértete|wr̥tyéh₁t|wr̥tté|wr̥twós|wr̥tdʰí|wértesi|wértetes|wr̥téntu|wértmi|wr̥ttóm|wértowos|wr̥twé|wr̥tih₁ént|wr̥tyéh₁m̥|wért|wr̥tmé|wr̥ténti|wértsi|wértonti|wr̥ttés|wérts|wértm̥|wr̥tyéh₁s|wr̥tmós|wr̥tih₁mé|wértt|wértomos|wr̥tih₁té|wérttu	<i>verb</i><br><ol><li>to be turning around</li></ol>
wéryeti|wéryēsi|wéryowe|wéryes|wérye|wéryoyt|wéryoytom|wéryoys|wéryoywe|wéryōnti|wéryōh₂|wéryetām|wéryoh₂|wéryoytām|wéryētes|wéryōwos|wéryoyte|wéryetom|wéryome|wéryetes|wéryesi|wéryoyh₁m̥|wéryoyh₁n̥t|wéryete|wéryowos|wéryonti|wéryōmos|wéryēte|wéryontu|wéryomos|wéryonts|wéryont|wéryom|wéryetu|wéryēti|wéryoyme|wéryet	<i>verb</i><br><ol><li>to be saying</li></ol>
wérǵom|wérǵoey|wérǵoyh₁|wérǵosyo|wérǵoysu|wérǵead|wérǵomos|wérǵey|wérǵōys|wérǵeh₂|wérǵoy|wérǵoh₁|wérǵoHom	<i>noun</i><br><ol><li>work</li></ol>
wéstis|ustímos|wéstim|ustéyoHom|wéstims|ustíh₁|ustísu|wéstih₁|ustéyey|ustḗy|wésti|wésteyes|ustéys|ustíbʰi|wéstih₁e|ustéy	<i>noun</i><br><ol><li>the act of dressing</li><li>clothing</li></ol>
wéstor|wésn̥to|wésomosdʰh₂|wésor|wésmosdʰh₂|wésoh₂er|wésih₁dʰh₂we|wésror|wéseth₂er|wéswedʰh₂|wésih₁h₂e|wésto|wésontor|wésih₁o|wésih₁wedʰh₂|wésth₂e|wésm̥h₁nos|wésh₂e|wésih₁to|wésih₁ro|wésmedʰh₂|wéswosdʰh₂|wésdʰh₂we|wésowosdʰh₂|wésth₂er|wésoror|wésetor|wésih₁n̥to|wésh₂er|wésro|wésih₁th₂e|wéso|wésedʰh₂we|wésn̥tor|wésih₁medʰh₂	<i>verb</i><br><ol><li>to be wearing</li></ol>
wétos|wétesey|wétesbʰi|wétesh₁|wétesmos|wétesos|wétes|wétesih₁|wétesoHom|wétesi|wétōs|wétesu	<i>noun</i><br><ol><li>year</li></ol>
wéwket|wéwkedʰh₂we|wéwkoyme|wéwkeso|wéwkoymedʰh₂|wéwkoywe|wéwkoh₂e|wéwkētes|wéwkowedʰh₂|wéwkontu|wéwkēdʰh₂we|wéwketu|wéwkētor|wéwkōror|wéwkomedʰh₂|wéwkoyth₂e|wéwkoyto|wéwkom|wéwkōwosdʰh₂|wéwkōh₂er|wéwkes|wéwkomnos|wéwkowe|wéwke|wéwkoro|wéwkonto|wéwkoyh₁m̥|wéwkoyt|wéwkoydʰh₂we|wéwkoyh₁o|wéwketom|wéwkont|wéwkoys|wéwkonts|wéwkēth₂er|wéwkēte|wéwkoytom|wéwkōnti|wéwkōwos|wéwketām|wéwkoyh₁n̥t|wéwkoywedʰh₂|wéwketh₂e|wéwkōmosdʰh₂|wéwkete|wéwkoyro|wéwkoyh₁n̥to|wéwkōh₂|wéwkoytām|wéwkōmos|wéwketo|wéwkōntor|wéwkēsi|wéwkoyte|wéwkome|wéwkoyh₂e|wéwkēti	<i>verb</i><br><ol><li>to say</li></ol>
wéy|n̥smey ~ *n̥s|n̥smé ~ *nō̆s|we-i|n̥so- ~ *nos|but the verb endings *-me|n̥smey|wey|with even enclitic *nos for *mos|nos|n̥sme|n̥smé ~ *nōs|n̥smed|n̥smi|n̥sóm ~ *nō̆s|but the verb endings *-medʰh₂|n̥sero- ~ *nos|? ~ *nos|weys|Oblique pl. *n̥s- possibly continues earlier **m̥s- . This n was made common to the whole paradigm|nes|n̥smé ~ *nos|n̥smé|ns-tero-s?|n̥s- ~ *nos|n̥sm-éy ~ *nō̆s|n̥sós|n̥sos|n̥sm-ét|n̥s ~ *nōs (?)|nōs	<i>pron</i><br><ol><li>we (more than two)</li></ol>
wéydseti|wéydsētor|wéydsoyh₁n̥t|wéydsontor|wéydsoyth₂e|wéydsonti|wéydsōntor|wéydsetes|wéydsetām|wéydsomedʰh₂|wéydsōh₂|wéydsoyh₁o|wéydsoytām|wéydsome|wéydsoh₂er|wéydsōmosdʰh₂|wéydsēsi|wéydsoyme|wéydsonts|wéydsetor|wéydsoydʰh₂we|wéydsomosdʰh₂|wéydsoror|wéydsowos|wéydsomos|wéydsēth₂er|wéydsetom|wéydsesi|wéydsēte|wéydsoyh₁m̥|wéydsont|wéydsetu|wéydses|wéydsōh₂er|wéydsontu|wéydseth₂er|wéydsōwos|wéydsoymedʰh₂|wéydsonto|wéydsoh₂|wéydsedʰh₂we|wéydsoro|wéydsoys|wéydsoyt|wéydsoyro|wéydsētes|wéydsoyh₂e|wéydsom|wéydsōnti|wéydsōmos|wéydsoh₂e|wéydsoytom|wéydsoyh₁n̥to|wéydsowedʰh₂|wéydseth₂e|wéydsōror|wéydse|wéydseto|wéydsoyte|wéydsēti|wéydsoyto|wéydsōwosdʰh₂|wéydsoywe|wéydsoywedʰh₂|wéydseso|wéydsete|wéydsowe|wéydsowosdʰh₂|wéydsēdʰh₂we|wéydsomnos|wéydset	<i>verb</i><br><ol><li>to want to see</li></ol>
wéydtōr|widtréh₁|wéydtores|wéydtorh₁|widtér|widtéri|widtr̥bʰí|wéydtorh₁e|widtr̥mós|wéydtorm̥|widtréy|widtrés|widtr̥sú|wéydtor|wéydtorm̥s|widtróHom	<i>noun</i><br><ol><li>one who has seen, one who knows</li></ol>
wéyh₁ō|wih₁nés|wéyh₁onh₁|wih₁n̥mós|wih₁nóHom|wih₁én|wéyh₁onm̥s|wéyh₁on|wih₁éni|wéyh₁onh₁e|wih₁n̥bʰí|wéyh₁onm̥|wéyh₁ones|wih₁néy|wih₁néh₁|wih₁n̥sú	<i>noun</i><br><ol><li>wine</li><li>vine</li></ol>
wéǵʰeti|wéǵʰētes|wéǵʰoyh₁n̥t|wéǵʰoh₂|wéǵʰomosdʰh₂|wéǵʰeso|wéǵʰōmosdʰh₂|wéǵʰontor|wéǵʰoyh₁n̥to|wéǵʰōror|wéǵʰoywe|wéǵʰoydʰh₂we|wéǵʰoro|wéǵʰoymedʰh₂|wéǵʰōntor|wéǵʰonti|wéǵʰetom|wéǵʰōmos|wéǵʰowos|wéǵʰetor|wéǵʰēsi|wéǵʰome|wéǵʰoyh₁m̥|wéǵʰoyh₁o|wéǵʰoyt|wéǵʰetām|wéǵʰoyme|wéǵʰētor|wéǵʰowosdʰh₂|wéǵʰōh₂er|wéǵʰeth₂er|wéǵʰōh₂|wéǵʰowedʰh₂|wéǵʰom|wéǵʰōwosdʰh₂|wéǵʰoror|wéǵʰomnos|wéǵʰēte|wéǵʰetes|wéǵʰōnti|wéǵʰoyh₂e|wéǵʰonts|wéǵʰet|wéǵʰonto|wéǵʰes|wéǵʰe|wéǵʰomos|wéǵʰoytom|wéǵʰeto|wéǵʰoytām|wéǵʰetu|wéǵʰont|wéǵʰomedʰh₂|wéǵʰēth₂er|wéǵʰoyro|wéǵʰoys|wéǵʰete|wéǵʰesi|wéǵʰōwos|wéǵʰoyte|wéǵʰoh₂e|wéǵʰeth₂e|wéǵʰoywedʰh₂|wéǵʰēdʰh₂we|wéǵʰontu|wéǵʰoh₂er|wéǵʰēti|wéǵʰedʰh₂we|wéǵʰoyth₂e|wéǵʰoyto|wéǵʰowe	<i>verb</i><br><ol><li>to be transporting</li></ol>
wídḱm̥ti	<i>num</i><br><ol><li>twenty</li></ol>
wódr̥|udnés|wédney|wédn̥|udéney|wédōr|wédn̥s|udnéy|udén|udnéh₁|udéns|wédni|udéni|wédn̥h₁|udénh₁	<i>noun</i><br><ol><li>water</li></ol>
wóps|webʰóHom|webʰéy|webʰes|webʰi|webʰsú|webʰés|web|webʰh₁e|webʰm̥s|webʰéh₁|webʰm̥|webʰbʰí|webʰmós|webʰh₁	<i>noun</i><br><ol><li>wasp</li></ol>
wósn̥	<i>noun</i><br><ol><li>sale, trade</li><li>price</li></ol>
wósr̥|wésni|wésn̥|wésn̥s|wésney|wésn̥h₁	<i>noun</i><br><ol><li>spring (season)</li></ol>
wóyde|widih₁mé|wóydtu|wóydh₂e|wéydonti|widé|widih₁wé|wéydomos|widtā́m|wóyd|widyéh₁t|widtóm|wóydth₂e|widté|widih₁té|wéydeti|widwṓs|widéntu|widmé|wéydesi|widih₁tóm|widdʰí|wéydetes|wéydete|widḗr|wéydowos|widih₁ént|widyéh₁s|widyéh₁m̥|widih₁tā́m|wéydoh₂|widwé	<i>verb</i><br><ol><li>to have seen, to know</li></ol>
wĺ̥kʷos|wĺ̥kʷomos|wĺ̥kʷoh₁|wĺ̥kʷoms|wĺ̥kʷoHom|wĺ̥kʷōys|wĺ̥kʷoysu|wĺ̥kʷey|wĺ̥kʷe|wĺ̥kʷoes|wĺ̥kʷosyo|wĺ̥kʷead|wĺ̥kʷoey|wĺ̥kʷoy|wĺ̥kʷom	<i>noun</i><br><ol><li>wolf</li></ol>
wḗǵʰst|wéǵʰsro|wḗǵʰstu|wḗǵʰsowos|wéǵʰsn̥to|wéǵʰsn̥tu|wḗǵʰsetes|wéǵʰsih₁tām|wéǵʰsdʰi|wéǵʰsth₂e|wḗǵʰsetor|wéǵʰsih₁wedʰh₂|wéǵʰsih₁medʰh₂|wéǵʰsdʰh₂we|wéǵʰste|wéǵʰsme|wéǵʰsyeh₁m̥|wéǵʰsih₁te|wḗǵʰsete|wéǵʰswe|wḗǵʰsomos|wéǵʰsih₁th₂e|wéǵʰswedʰh₂|wéǵʰsyeh₁t|wḗǵʰsonti|wḗǵʰseth₂er|wḗǵʰsesi|wéǵʰsyeh₁s|wḗǵʰsomosdʰh₂|wḗǵʰseti|wéǵʰsmedʰh₂|wéǵʰsm̥h₁nos|wéǵʰsih₁ro|wéǵʰstom|wéǵʰstām|wéǵʰsih₁n̥to|wéǵʰsn̥ts|wḗǵʰsedʰh₂we|wéǵʰsih₁n̥t|wéǵʰsih₁we|wéǵʰsih₁to|wḗǵʰsoh₂|wéǵʰsn̥t|wéǵʰsh₂e|wḗǵʰsontor|wéǵʰsih₁me|wḗǵʰsowosdʰh₂|wḗǵʰsoror|wéǵʰsto|wéǵʰsih₁tom|wéǵʰsih₁dʰh₂we|wḗǵʰsoh₂er|wḗǵʰs|wéǵʰso|wéǵʰsih₁h₂e|wḗǵʰsm̥|wéǵʰsih₁o	<i>verb</i><br><ol><li>to transport</li></ol>
wṓkʷs|wókʷey|wókʷh₁|wókʷs|wókʷm̥s|wókʷoHom|wókʷmos|wókʷm̥|wókʷsu|wók|wókʷh₁e|wókʷi|wókʷbʰi|wókʷes	<i>noun</i><br><ol><li>voice, speech</li></ol>
yugtós|yugtóh₁|yugtéh₂h₁|yugtéh₂i|yugtóms|yugtóHom|yugtā́m|yugtéh₂es|yugtósyo|yugtéh₂h₁e|yugtéh₂mos|yugtéh₂m̥s|yugtéh₂s|yugtéh₂oHom|yugtéh₂|yugtóm|yugtéh₂bʰi|yugtóyh₁|yugtéad|yugté|yugtóysu|yugtéh₂ey|yugtéy|yugtéh₂su|non-ablauting|yugtómos|yugtṓys|yugtóey|yugtóy|yugtóes	<i>adj</i><br><ol><li>yoked, joined</li></ol>
yugóm|yugómos|yugóHom|yugóey|yugéh₂|yugṓys|yugósyo|yugóh₁|yugéad|yugéy|yugóysu|yugóyh₁|yugóy	<i>noun</i><br><ol><li>yoke</li></ol>
yunégti|yunégetes|yungtā́m|yungyéh₁t|yungih₁th₂é|yungih₁médʰh₂|yunégeth₂er|yunégowosdʰh₂|yungtóm|yungéntu|yunégmi|yunégesi|yungih₁wé|yungih₁tóm|yunégedʰh₂we|yungn̥tó|yunégetor|yungró|yunég|yungih₁tā́m|yungwé|yungmédʰh₂|yungwós|yungté|yunégoh₂|yungth₂ér|yungrór|yunégonti|yungh₂ér|yunégoh₂er|yungó|yungih₁ó|yungdʰí|yungth₂é|yunégomos|yungmósdʰh₂|yungn̥tór|yunégeti|yungih₁ént|yunégs|yunégowos|yungih₁ró|yunégm̥|yungyéh₁s|yungh₂é|yungih₁wédʰh₂|yungmós|yungih₁tó|yungmé|yungih₁n̥tó|yunégoror|yungih₁mé|yungónts|yungtór|yungyéh₁m̥|yungm̥h₁nós|yunégt|yungént|yunégtu|yungih₁h₂é|yungtó|yungtés|yunégsi|yungih₁dʰh₂wé|yungdʰh₂wé|yungénti|yunégomosdʰh₂|yungwósdʰh₂|yungwédʰh₂|yungih₁té|yunégete|yungsó|yungór|yunégontor	<i>verb</i><br><ol><li>to be joining</li></ol>
yémHos|yémHoysu|yémHe|yémHoh₁|yémHoy|yémHead|yémHey|yémHōys|yémHoHom|yémHomos|yémHom|yémHosyo|yémHoes|yémHoms|yémHoey	<i>noun</i><br><ol><li>twin</li></ol>
yéwgos|yéwgōs|yéwgesu|yéwgesoHom|yéwgesi|yéwgesey|yéwges|yéwgesih₁|yéwgesh₁|yéwgesbʰi|yéwgesos|yéwgesmos	<i>noun</i><br><ol><li>team, pair of yoked animals</li></ol>
yéwos|yéwesi|yéwesh₁|yéwesey|yéwesmos|yéwesoHom|yéwesos|yéwesbʰi|yéwesu|yéwesih₁|yéwes|yéwōs	<i>noun</i><br><ol><li>cereal, grain</li><li>barley, spelt</li></ol>
yóh₁r̥|yéh₁n̥su|yéh₁n̥h₁|yéh₁n̥|yóh₁rih₁|yéh₁ni|ih₁néy|yéh₁ōr|yéh₁n̥bʰi|ih₁éni|ih₁néh₁|ih₁én|yóh₁r̥h₂|ih₁nés|yéh₁noHom|yéh₁n̥mos|yéh₁n̥s|yéh₁ney	<i>noun</i><br><ol><li>year</li></ol>
yókʷr̥|ikʷnéy|yékʷni|ikʷén|ikʷnéh₁|yékʷn̥s|ikʷéni|yékʷn̥|ikʷnés|yékʷn̥h₁|yékʷōr|yékʷney	<i>noun</i><br><ol><li>liver</li></ol>
yós|yóy|yósyo|yóm|yósmey|yónoh₁|yéh₂m̥s|yéh₂h₁|yéh₂|Hyós|yósyeh₂ey|yéh₂es|yód|yósmi|yósyeh₂s|yéh₂soHom|yóh₁|yéh₂bʰi|yósmead|yóysu|yéh₂mos|yósyeh₂|yéh₂su|yā́m|yóymos|yóysoHom|yéh₂eh₁|yṓys|yóms	<i>pron</i><br><ol><li>that, who, which (relative)</li></ol>
yúHs	<i>noun</i><br><ol><li>soup, broth</li><li>fermented product; leaven</li></ol>
yū́	<i>pron</i><br><ol><li>you (plural)</li></ol>
átta	<i>noun</i><br><ol><li>father</li></ol>
énu	<i>root</i><br><ol><li>after, again</li><li>above, up</li></ol>
éti	<i>adv</i><br><ol><li>beyond</li><li>over</li><li>and</li></ol>
