adnet	<i>verb</i><br><ol><li>to have</li></ol>
måj|miján|mij|mån|mija|mijáv|munuon|mijást|mujna|månnå|munujn|muvste|måjå|mijjaj|mijájn|munnuj|munuost|muvne|månov|munuo|måj|mijá|muv|munje	<i>pron</i><br><ol><li>we two</li></ol>
måjå|miján|mij|mån|mija|mijáv|munuon|mijást|mujna|månnå|munujn|muvste|måjå|mijjaj|mijájn|munnuj|munuost|muvne|månov|måj|munuo|mijá|muv|munje	<i>pron</i><br><ol><li>(emphatic) we two</li></ol>
mån|miján|mij|mån|mija|mijáv|munuon|mijást|mujna|månnå|munujn|muvste|måjå|mijjaj|mijájn|munnuj|munuost|muvne|månov|måj|munuo|mijá|muv|munje	<i>pron</i><br><ol><li>I</li></ol>
månne	
månnå|miján|mij|mån|mija|mijáv|munuon|mijást|mujna|månnå|munujn|muvste|måjå|mijjaj|mijájn|munnuj|munuost|muvne|månov|måj|munuo|mijá|muv|munje	<i>pron</i><br><ol><li>(emphatic) I</li></ol>
mårrse|må̄rrse	
namma	<i>noun</i><br><ol><li>name</li></ol>
narra|narajda|nara|nadaj|naddan|nadajn|narraj|naddaj|nadajst|narajn|nadajt|narast|nada|narajs|naraj|nadav|nadda|narran|nadast|nadas|narajst|nadajs|narajt|nadan|naran|narav|nadajda|naras	
nierra	
nijjbe	
njukktja	<i>noun</i><br><ol><li>swan</li></ol>
njuolla	
njuonne|njūnijt|njūnijs|njuonnje|njūnjijt|njūnjijn|njūnijn|njuonjev|njuone|njuonnjáj|njuonjest|njūnij|njūnjij|njuonnen|njuones|njuonnáj|njuonev|njūnjijs|njuonnjen|njuonjes|njūnijda|njūnjijda|njuonen|njuonje|njūnjijst|njuonjen|njūnijst|njuonest	
njálbme	
njåmmel|njå̄mmel	
náhkke|nähkijs|nähkijst|nähkijn|náhke|náhkkáj|náhkes|náhkest|nähkij|náhkken|nähkijt|nähkijda|náhkev|náhken	<i>noun</i><br><ol><li>animal skin</li><li>leather</li></ol>
náhpe	
náhppe	<i>noun</i><br><ol><li>milking cup</li></ol>
násste|nástes|násten|násstáj|nástev|náste|nästij|nästijst|nästijs|nästijn|nästijt|nästijda|nássten|nástest	
návvde	
näjjda	
nällge	
nällje	<i>num</i><br><ol><li>four</li></ol>
radde	<i>noun</i><br><ol><li>edge, side</li></ol>
ramas	
ridne	
riebe	<i>noun</i><br><ol><li>red fox, Vulpes vulpes</li></ol>
riehpen	
rigge|riggijs|rigˈge|riggij|riggijda|rigges|riggen|riggijn|riggijst|riggest|rigˈgáj|riggev|rigˈgen|riggijt	<i>noun</i><br><ol><li>chain (to hang a kettle over a fire)</li></ol>
rihpa|ribas|ribast|ribajda|ribajst|ribav|rihpaj|riba|rihpan|riban|ribajn|ribaj|ribajt|ribajs	<i>noun</i><br><ol><li>splinter</li><li>rubbish, junk</li></ol>
rihta|ridav|ridast|ridas|ridajst|ridajn|ridajt|ridaj|rida|rihtaj|ridajs|ridan|ridajda|rihtan	<i>noun</i><br><ol><li>half carcass</li></ol>
risse|risˈseska|risˈsen|rissen|rissev|risˈse|rissij|risˈsáj|risˈsám|rissedagi|risses|risˈsesa|risˈses|rissijn|rissedagá|rissijdagi|risˈsáda|rissijs|rissijt|risˈsát|rissijda|rissijdagá|risˈsáma	<i>noun</i><br><ol><li>twig, shoot</li></ol>
ruabbda	
ruassta	
ruohko	
ruojas	
ruojves	
russna	
ruäbbe|ruäbˈbe	
ruäjjve	
ruässje|ruäsˈsje	
ruävvde	
rádje|rájev|rádjáj|räjijt|rájje|rájjáj|rádjen|ráje|räjij|rájes|rájjen|räjijst|räjijs|rájest|räjijn|rájen|räjijda	<i>noun</i><br><ol><li>natural border</li></ol>
rádno	
rájjdo	
rájjge	
rásse	
rássjo|rássjon|rásjon|rásjojst|räsjujn|rásjov|rásjojs|rásjoj|rásjojn|rässjuj|rásjost|rásjojda|rásjo|rásjojt|rásjos	<i>noun</i><br><ol><li>rain</li></ol>
rávvdo	
rávvke	
rässjme	
rådno	
råhtje	
råhto	
råhtto	
råvve|rå̄vve	
råvvgo|rå̄vvgo	
råvvro|rå̄vvro	
sabek	
sadje|sadjes|sajest|sajij|sadjen|sajijda|sajjáj|sajijdagi|sijijda|saje|sadjeska|sajijn|sadjáda|sadját|sajijdagá|sijijn|sajen|sadjáj|sajje|sijijs|sajjen|sadjáma|sajes|sadjám|sajev|sajedagi|sajijs|sijijt|sijij|sajijt|sadjesa|sajedagá|sijijst	<i>noun</i><br><ol><li>place, location</li></ol>
salla|sallaj|sala|salaj|salajn|salajst|salast|salan|salajda|salajt|salav|salajs|sallan|salas	
sarre	
sarrva	
sasse|sasen|sase|sases|sisijs|sisijda|sasest|sassáj|sassen|sisijst|sisijt|sisijn|sisij|sasev	<i>noun</i><br><ol><li>sleeve</li></ol>
sassne|sisnij|sassnáj|sisnijst|sasnest|sasnev|sisnijda|sassnen|sisnijt|sasnes|sisnijn|sasne|sasnen|sisnijs	<i>noun</i><br><ol><li>leather without hair</li></ol>
siedja|siejjan|siejajs|siejaj|siejajda|siejajn|siejas|siejjaj|sieja|siejast|siejja|siedjan|siejajst|siejajt|siedjaj|siejan|siejav	
siessá	
sieŋatj	
sij|suvste|sånnå|sijájn|sija|sij|sijást|siján|sunje|sån|suv|sunuost|sujna|såj|sunuon|sijá|sånov|sunuo|suvne|sijáv|sijjaj|såjå|sunnuj|sunujn	<i>pron</i><br><ol><li>they</li></ol>
