dinget	<i>noun</i><br><ol><li>sweat</li></ol>
dingkamas	<i>noun</i><br><ol><li>jicama</li></ol>
dinowan	<i>noun</i><br><ol><li>bee</li><li>honeycomb</li></ol>
dinteg	<i>noun</i><br><ol><li>law; rule</li></ol>
disibo	<i>noun</i><br><ol><li>receipt</li></ol>
dismaya	<i>noun</i><br><ol><li>disappointment; discouragement</li></ol>
distaan	<i>noun</i><br><ol><li>list</li></ol>
ditdit	<i>noun</i><br><ol><li>small house bat</li></ol>
diwa	<i>noun</i><br><ol><li>(anatomy) arm; hand</li></ol>
diyek	<i>noun</i><br><ol><li>termite</li></ol>
dobid	<i>noun</i><br><ol><li>thread</li></ol>
dobong	<i>noun</i><br><ol><li>world; earth</li></ol>
dofa	<i>noun</i><br><ol><li>(anatomy) face</li></ol>
dofot	<i>noun</i><br><ol><li>cloth; material</li></ol>
dogad	<i>noun</i><br><ol><li>place; area; region</li></ol>
dohod	<i>noun</i><br><ol><li>measurement; measure</li></ol>
dokbong	<i>noun</i><br><ol><li>arrow</li></ol>
dokto	<i>noun</i><br><ol><li>sweet potato</li></ol>
domingko	<i>noun</i><br><ol><li>week</li></ol>
dongban	<i>noun</i><br><ol><li>pomelo</li></ol>
doong	<i>noun</i><br><ol><li>space underneath something</li></ol>
dowado	<i>noun</i><br><ol><li>prayer</li></ol>
dowag	<i>noun</i><br><ol><li>stream</li></ol>
edem	<i>noun</i><br><ol><li>jealousy (for one's spouse, boyfriend, or girlfriend)</li></ol>
egchi	<i>noun</i><br><ol><li>handle</li></ol>
egwas	<i>noun</i><br><ol><li>knife</li></ol>
ekaget	<i>adj</i><br><ol><li>industrious</li></ol>
ekes	<i>noun</i><br><ol><li>(anatomy) stomach</li></ol>
ekow	<i>noun</i><br><ol><li>thirst</li></ol>
emo	<i>adv</i><br><ol><li>maybe</li></ol>
enem	<i>num</i><br><ol><li>six</li></ol>
engasin	<i>adj</i><br><ol><li>salty</li></ol>
engos	<i>noun</i><br><ol><li>sadness; sorrow</li></ol>
engoso	<i>noun</i><br><ol><li>orphan</li></ol>
epat	<i>num</i><br><ol><li>four</li></ol>
esim	<i>noun</i><br><ol><li>sheet of tin (used for roofs or sides of buildings)</li></ol>
etak	<i>noun</i><br><ol><li>bolo</li></ol>
etek	<i>noun</i><br><ol><li>pride</li></ol>
etiy	<i>noun</i><br><ol><li>dead person</li></ol>
etot	<i>noun</i><br><ol><li>fart; flatulence</li></ol>
goyabano	<i>noun</i><br><ol><li>soursop</li></ol>
gwahal	<i>noun</i><br><ol><li>vine</li></ol>
gwakes	<i>noun</i><br><ol><li>(anatomy) waist</li></ol>
gwalgwadik	<i>noun</i><br><ol><li>flower of the banana tree</li></ol>
gwalo	<i>num</i><br><ol><li>eight</li></ol>
gwasay	<i>noun</i><br><ol><li>axe</li></ol>
hombok	<i>noun</i><br><ol><li>Chinese cabbage; Napa cabbage</li></ol>
idad	<i>noun</i><br><ol><li>age</li></ol>
ifit	<i>noun</i><br><ol><li>clothespin; paper clip; hairclip</li></ol>
ihol	<i>noun</i><br><ol><li>tail</li></ol>
iit	<i>noun</i><br><ol><li>reed broom; broom made of sticks</li></ol>
ikdog	<i>noun</i><br><ol><li>egg</li></ol>
ikot	<i>noun</i><br><ol><li>selfishness</li></ol>
ili	<i>noun</i><br><ol><li>community where people live</li><li>home country</li></ol>
ilit	<i>noun</i><br><ol><li>nit; egg of a louse</li></ol>
ilol	<i>noun</i><br><ol><li>(anatomy) saliva</li></ol>
imbaliy	<i>noun</i><br><ol><li>spouse</li></ol>
iming	<i>noun</i><br><ol><li>(anatomy) beard; mustache</li></ol>
ina	<i>noun</i><br><ol><li>mother</li></ol>
indotho	<i>noun</i><br><ol><li>hot cooked rice</li></ol>
ineng	<i>noun</i><br><ol><li>rice seedling</li></ol>
inengan	<i>noun</i><br><ol><li>seedling bed for rice</li></ol>
inepoy	<i>noun</i><br><ol><li>hot cooked rice</li></ol>
inoman	<i>noun</i><br><ol><li>drinking place</li></ol>
ira	<i>pron</i><br><ol><li>they</li></ol>
iros	<i>noun</i><br><ol><li>ladle</li></ol>
iskwida	<i>noun</i><br><ol><li>school</li></ol>
ispada	<i>noun</i><br><ol><li>sword</li></ol>
ispiho	<i>noun</i><br><ol><li>mirror</li></ol>
ispirito	<i>noun</i><br><ol><li>spirit</li></ol>
itek	<i>noun</i><br><ol><li>lie</li></ol>
itsa	<i>noun</i><br><ol><li>tea</li></ol>
jabjab	<i>noun</i><br><ol><li>breeze</li><li>fan</li></ol>
jafit	<i>adj</i><br><ol><li>thin (of inanimate objects)</li></ol>
jaod	<i>noun</i><br><ol><li>(anatomy) back of the knee</li></ol>
jasjas	<i>noun</i><br><ol><li>breath</li></ol>
jegjeg	<i>noun</i><br><ol><li>earthquake</li></ol>
jenged	<i>noun</i><br><ol><li>(anatomy) nape</li></ol>
jogaw	<i>noun</i><br><ol><li>baby food (made by grinding or cooking until soft)</li></ol>
jowjow	<i>noun</i><br><ol><li>huge flood; deluge</li></ol>
