komen ça va	<i>phrase</i><br><ol><li>(idiomatic) how's it going?</li></ol>
konten	<i>adj</i><br><ol><li>happy.</li></ol>
koulær|koulèr|koulè	<i>noun</i><br><ol><li>color, colour.</li></ol><br><i>adj</i><br><ol><li>(of people) colored.</li></ol>
kouri-vini	<i>noun</i><br><ol><li>A name for the Louisiana Creole French language.</li></ol>
kouvær|kouvè|kouvèr	<i>adj</i><br><ol><li>cloudy, overcast.</li></ol>
kreyòl	<i>noun</i><br><ol><li>creole</li></ol>
l'Afrique	<i>name</i><br><ol><li>Africa</li></ol>
l'aimin	<i>verb</i><br><ol><li>to like, love</li></ol>
laché	<i>verb</i><br><ol><li>to release</li></ol>
lafrik	<i>name</i><br><ol><li>Africa</li></ol>
laimin	<i>verb</i><br><ol><li>to love</li></ol>
laissé	<i>verb</i><br><ol><li>to let</li></ol>
lalyans	<i>noun</i><br><ol><li>alliance</li><li>marriage</li></ol>
lamone	<i>noun</i><br><ol><li>coin</li></ol>
lamézon	<i>noun</i><br><ol><li>house.</li></ol>
lapierre	<i>noun</i><br><ol><li>stone</li></ol>
largent	<i>noun</i><br><ol><li>money</li></ol>
larjan	<i>noun</i><br><ol><li>money</li></ol>
larjên	<i>adj</i><br><ol><li>silver color.</li></ol><br><i>noun</i><br><ol><li>silver (color).</li></ol>
larozé	<i>noun</i><br><ol><li>dew.</li></ol>
las	<i>adj</i><br><ol><li>tired.</li></ol>
lashèz|shèj|lashèj|shèz	<i>noun</i><br><ol><li>chair.</li></ol>
lasmènn|smènn	<i>noun</i><br><ol><li>week.</li></ol>
latab	<i>noun</i><br><ol><li>table.</li></ol>
lhistoire	<i>noun</i><br><ol><li>story</li></ol>
li|sô|li-chin|yê|yé	<i>pron</i><br><ol><li>he.</li><li>him.</li><li>she.</li><li>her.</li><li>it.</li></ol>
liché	<i>verb</i><br><ol><li>to lick</li></ol>
limin	<i>verb</i><br><ol><li>to light</li></ol>
liv	<i>noun</i><br><ol><li>book.</li><li>pound (unit of weight).</li><li>grade (level).</li></ol>
livè|ivèr|livær	<i>noun</i><br><ol><li>winter</li></ol>
lundi|lindi	<i>noun</i><br><ol><li>Monday.</li></ol>
légliz	<i>noun</i><br><ol><li>church.</li></ol>
lékòl	<i>noun</i><br><ol><li>school.</li></ol>
lézard	<i>noun</i><br><ol><li>lizard</li></ol>
maddi|mardi	<i>noun</i><br><ol><li>Tuesday.</li></ol>
magnin	<i>verb</i><br><ol><li>to move</li></ol>
maite	<i>noun</i><br><ol><li>master</li></ol>
mamzelle	<i>noun</i><br><ol><li>mademoiselle</li></ol>
mandé	<i>verb</i><br><ol><li>to ask</li></ol>
mangé	<i>verb</i><br><ol><li>to eat</li></ol>
manzé	<i>verb</i><br><ol><li>to eat</li></ol>
marché	<i>verb</i><br><ol><li>to walk</li></ol>
mari	<i>noun</i><br><ol><li>husband.</li></ol>
maringouin	<i>noun</i><br><ol><li>mosquito</li></ol>
marié	<i>verb</i><br><ol><li>to marry</li></ol>
maron	<i>adj</i><br><ol><li>brown color.</li></ol><br><i>noun</i><br><ol><li>brown (color).</li></ol>
marré	<i>verb</i><br><ol><li>to tie</li></ol>
massacré	<i>verb</i><br><ol><li>to be dying</li></ol>
maïs	<i>noun</i><br><ol><li>corn</li></ol>
men	<i>noun</i><br><ol><li>hand</li></ol>
mercié	<i>verb</i><br><ol><li>to thank</li></ol>
mette	<i>verb</i><br><ol><li>to put</li></ol>
metté	<i>verb</i><br><ol><li>to put</li></ol>
mil	<i>num</i><br><ol><li>thousand.</li></ol>
milyon	<i>num</i><br><ol><li>million, 10⁶.</li></ol>
minou	<i>noun</i><br><ol><li>kitty.</li><li>cat.</li></ol>
mo|nouzòt|nô|no|mò|mô|nou|mwin	<i>pron</i><br><ol><li>I.</li></ol>
monn	<i>noun</i><br><ol><li>world</li></ol>
monté	<i>verb</i><br><ol><li>to climb</li><li>to mount</li></ol>
