पान	<i>noun</i><br><ol><li>leaf</li></ol>
𑂃𑂯𑂱𑂄|ahiā	<i>adv</i><br><ol><li>today</li><li>nowadays.</li></ol>
𑂃𑂯𑂱𑂔𑂰|ahijā	<i>adv</i><br><ol><li>here, at this place</li></ol>
𑂃𑂯𑂱𑂢𑂰|ahinā	<i>adv</i><br><ol><li>today</li><li>nowadays.</li></ol>
𑂄|ā	<i>conj</i><br><ol><li>and</li></ol>
𑂄𑂀𑂍𑂪|ā̃kal	<i>verb</i><br><ol><li>to asses, to reckon</li></ol>
𑂄𑂀𑂎𑂱|ā̃khi	<i>noun</i><br><ol><li>eye.</li></ol>
𑂄𑂀𑂗𑂰|ā̃ṭā	<i>noun</i><br><ol><li>flour</li></ol>
𑂄𑂀𑂚|ã̄ṛ	<i>noun</i><br><ol><li>(vulgar) testicles</li></ol>
𑂄𑂅𑂪|āil	<i>noun</i><br><ol><li>boundary of a field</li></ol>
𑂄𑂇|āu	<i>conj</i><br><ol><li>and</li></ol><br><i>adv</i><br><ol><li>more</li></ol>
𑂄𑂉𑂀|āẽ	<i>intj</i><br><ol><li>Used to indicate that one did not hear what was said.</li></ol>
𑂄𑂋𑂀|āõ	<i>noun</i><br><ol><li>stool mucus</li><li>dysentery</li></ol>
𑂄𑂍𑂥𑂞|ākbat	<i>noun</i><br><ol><li>dignity, prestige</li></ol>
𑂄𑂍𑂩𑂹𑂭𑂝|ākarsan	<i>noun</i><br><ol><li>attraction</li></ol>
𑂄𑂍𑂪𑂢|āklan	<i>noun</i><br><ol><li>assessment, calculation</li><li>estimate</li></ol>
𑂄𑂍𑂹𑂩𑂧𑂝|ākraman	<i>noun</i><br><ol><li>attack</li></ol>
𑂄𑂏𑂪𑂏𑂸𑂢𑂰|āglagaunā	<i>noun</i><br><ol><li>(masculine)instigator</li><li>(masculine)conspirator</li></ol>
𑂄𑂏𑂱|āgi	<i>noun</i><br><ol><li>fire</li></ol>
𑂄𑂏𑂴|agū	<i>adv</i><br><ol><li>in front of, before</li></ol>
𑂄𑂚𑂲|āṛī	<i>noun</i><br><ol><li>dividing ridge in a field</li></ol>
𑂄𑂞𑂹𑂧𑂰|ātmā	<i>noun</i><br><ol><li>soul, spirit</li></ol>
