bater	<i>noun</i><br><ol><li>caterpillar</li><li>pupa</li></ol><br><i>verb</i><br><ol><li>to let something be known, to reveal</li></ol>
batidor	<i>noun</i><br><ol><li>teakettle</li></ol>
batik	<i>noun</i><br><ol><li>batik fabric</li></ol><br><i>verb</i><br><ol><li>to coagulate</li><li>to solidify</li></ol>
batin	<i>noun</i><br><ol><li>attitude</li><li>thought</li></ol>
batir	<i>noun</i><br><ol><li>(ball games) bat</li></ol>
bato	<i>noun</i><br><ol><li>stone; rock</li><li>(gambling) chips</li></ol>
batog	<i>noun</i><br><ol><li>top</li></ol>
batok	<i>noun</i><br><ol><li>a cough</li></ol><br><i>verb</i><br><ol><li>to cough</li><li>to identify, to know the real source</li></ol>
baw	<i>noun</i><br><ol><li>smell, scent, odour</li></ol>
bawa|baoa	<i>verb</i><br><ol><li>to carry (as on the back)</li></ol>
bawang|baoang	<i>noun</i><br><ol><li>onion, garlic</li></ol>
bawas	<i>verb</i><br><ol><li>to overcome</li></ol>
bebay|bebai|bëbay	<i>noun</i><br><ol><li>woman</li></ol>
beboy|beboi	<i>noun</i><br><ol><li>pig</li></ol>
bedong	<i>noun</i><br><ol><li>cat</li></ol>
begas	<i>noun</i><br><ol><li>rice (cooked)</li></ol>
begay	<i>noun</i><br><ol><li>gift</li></ol><br><i>verb</i><br><ol><li>to give</li></ol>
bego	<i>adj</i><br><ol><li>new</li></ol>
bekaw	<i>noun</i><br><ol><li>root</li></ol>
bekong	<i>adj</i><br><ol><li>bent (stooped as an elderly person)</li></ol>
bel	<i>noun</i><br><ol><li>smoke</li></ol>
benar	<i>adj</i><br><ol><li>true</li></ol>
bengel	<i>adj</i><br><ol><li>deaf</li></ol>
benget	<i>noun</i><br><ol><li>pubic hair</li></ol>
besar	<i>adj</i><br><ol><li>big (of a great size)</li><li>big (adult)</li></ol>
betol	<i>adj</i><br><ol><li>true</li></ol><br><i>noun</i><br><ol><li>truth</li></ol>
bihon	<i>noun</i><br><ol><li>rice vermicelli</li></ol>
bilang	<i>noun</i><br><ol><li>number</li></ol><br><i>verb</i><br><ol><li>to count</li><li>to include</li></ol>
bilangan	<i>noun</i><br><ol><li>calendar</li></ol>
bili-bili	<i>noun</i><br><ol><li>sheep (animal)</li></ol>
binatang	<i>noun</i><br><ol><li>animal (organism)</li><li>animal (organism other than man)</li></ol>
biso	<i>adj</i><br><ol><li>deaf</li></ol>
bito'on	<i>noun</i><br><ol><li>star</li></ol>
bobon	<i>noun</i><br><ol><li>thigh</li></ol>
bois	<i>noun</i><br><ol><li>tax</li></ol>
bok	<i>noun</i><br><ol><li>head hair</li></ol>
bolak	<i>noun</i><br><ol><li>flower</li></ol>
bolan	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
bolangan	<i>noun</i><br><ol><li>cockpit</li></ol>
