filalotong	<i>noun</i><br><ol><li>spider</li></ol>
filfil	<i>noun</i><br><ol><li>(anatomy) lip</li></ol>
finacadan	<i>noun</i><br><ol><li>ethnic group; ethnic community; race; ethnicity</li></ol>
fita'ol	<i>noun</i><br><ol><li>egg</li></ol>
fitakola	<i>noun</i><br><ol><li>frog</li></ol>
fitawngi'	<i>noun</i><br><ol><li>wood ear</li></ol>
fitili'	<i>noun</i><br><ol><li>thunder and lightning</li></ol>
fiting	<i>noun</i><br><ol><li>earring</li></ol>
fitoka	<i>noun</i><br><ol><li>(anatomy) stomach</li></ol>
fiwa	<i>noun</i><br><ol><li>loquat</li></ol>
fiyac	<i>verb</i><br><ol><li>to stretch; to extend (hand or feet)</li></ol>
fiyaw	<i>noun</i><br><ol><li>neighbor</li></ol>
fo'is	<i>noun</i><br><ol><li>star</li></ol>
fo^kan	<i>noun</i><br><ol><li>unweaned pig</li></ol>
fodawan	<i>noun</i><br><ol><li>gold</li></ol>
fohet	<i>noun</i><br><ol><li>squirrel</li></ol>
fokeloh	<i>noun</i><br><ol><li>stone</li></ol>
fokes	<i>noun</i><br><ol><li>(anatomy) hair</li></ol>
folad	<i>noun</i><br><ol><li>moon</li></ol>
fonafonakan	<i>noun</i><br><ol><li>sand</li></ol>
fonak	<i>noun</i><br><ol><li>sand</li></ol>
fonga	<i>noun</i><br><ol><li>sweet potato</li></ol>
fongoh	<i>noun</i><br><ol><li>(anatomy) head</li></ol>
fonor	<i>verb</i><br><ol><li>to fall down (fruit of plant)</li></ol>
fonos	<i>noun</i><br><ol><li>knife (specifically refers to the knife carried by Taiwan aborigines)</li></ol>
foting	<i>noun</i><br><ol><li>fish</li></ol>
fotol	<i>noun</i><br><ol><li>scrotum</li></ol>
fowa'	<i>noun</i><br><ol><li>(anatomy) kidney</li></ol>
fulad	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
hacol	<i>noun</i><br><ol><li>milk</li></ol>
hacowa	<i>pron</i><br><ol><li>how many; how much</li><li>when</li></ol>
hadhad	<i>noun</i><br><ol><li>dry land</li></ol>
hadi^di	<i>adj</i><br><ol><li>patient</li></ol><br><i>adv</i><br><ol><li>patiently</li></ol>
hakiwid	<i>verb</i><br><ol><li>to carry; to bring along</li></ol>
hako	<i>noun</i><br><ol><li>box</li></ol>
hana	<i>noun</i><br><ol><li>(Central) flower</li></ol>
hatefo	<i>verb</i><br><ol><li>to jump off</li></ol>
heci	<i>noun</i><br><ol><li>meat</li><li>fruit (of a plant)</li></ol>
hemot	<i>noun</i><br><ol><li>(anatomy) buttocks</li></ol>
hengad	<i>noun</i><br><ol><li>beetle</li></ol>
hetecen	<i>verb</i><br><ol><li>to press or extract juices</li></ol>
hikoki	<i>noun</i><br><ol><li>airplane</li></ol>
hinam	<i>verb</i><br><ol><li>to observe; to check;</li><li>to look for; to seek;</li><li>to snoop around; to make inquires about</li></ol>
hinamen	<i>adj</i><br><ol><li>to observe; to check;</li><li>to snoop around; to make inquires about</li></ol>
hitefo	<i>verb</i><br><ol><li>to jump downwards from the top</li></ol>
hoing	<i>noun</i><br><ol><li>(law) court</li></ol>
hongti	<i>noun</i><br><ol><li>emperor</li></ol>
howak	<i>noun</i><br><ol><li>duck</li></ol>
icep	<i>noun</i><br><ol><li>betel palm</li><li>betel nut</li></ol>
icowa	<i>pron</i><br><ol><li>(interrogative) where</li></ol>
idang	<i>noun</i><br><ol><li>friend</li></ol>
ifor	<i>verb</i><br><ol><li>to hop; to jump; to leap</li></ol>
impic	<i>noun</i><br><ol><li>pencil</li></ol>
ina	<i>noun</i><br><ol><li>mother (female (human) who parents a child, gives birth to a baby, or is pregnant)</li></ol>
incay	<i>noun</i><br><ol><li>water spinach</li></ol>
ising	<i>noun</i><br><ol><li>doctor</li></ol>
kacanglahan	<i>noun</i><br><ol><li>spring (season); springtime</li></ol>
kacawas	<i>noun</i><br><ol><li>watermelon</li></ol>
kaci'efec	<i>verb</i><br><ol><li>to bind/tie kerchief/towel on head</li></ol>
kacicengo'an	<i>noun</i><br><ol><li>the time to sprout</li><li>spring; springtime</li></ol>
kacidalay	<i>noun</i><br><ol><li>praying mantis</li></ol>
kacihrangan	<i>noun</i><br><ol><li>summer</li></ol>
kacomoli^	<i>noun</i><br><ol><li>snail</li></ol>
kadafo	<i>noun</i><br><ol><li>child-in-law</li><li>daughter-in-law</li></ol>
kadat	<i>noun</i><br><ol><li>comb</li></ol>
kadit	<i>noun</i><br><ol><li>cloud</li></ol>
kadkad	<i>verb</i><br><ol><li>to excavate; to dig</li><li>to research; to study</li><li>to investigate</li></ol>
kaemangay	<i>noun</i><br><ol><li>youngster; children</li></ol>
kafarawfawan	<i>noun</i><br><ol><li>fall, autumn</li></ol>
kafer	<i>noun</i><br><ol><li>pants</li></ol>
kafi	<i>noun</i><br><ol><li>soup; broth</li></ol>
kafong	<i>noun</i><br><ol><li>hat</li></ol>
kaka	<i>noun</i><br><ol><li>elder brother</li><li>elder sister</li></ol>
kakarayan	<i>noun</i><br><ol><li>sky</li></ol>
kakawangay	<i>noun</i><br><ol><li>praying mantis</li></ol>
kakeletan	<i>noun</i><br><ol><li>(anatomy) waist</li></ol>
kakeridan	<i>noun</i><br><ol><li>leader</li></ol>
kakeroan	<i>noun</i><br><ol><li>a place for dancing</li></ol>
kaketi	<i>noun</i><br><ol><li>poisonous bee</li></ol>
kakiri'an	<i>noun</i><br><ol><li>(anatomy) armpit</li></ol>
kako	<i>pron</i><br><ol><li>I (personal pronoun)</li></ol>
kakohkoh	<i>noun</i><br><ol><li>cobra</li></ol>
kakonah	<i>noun</i><br><ol><li>ant</li></ol>
kakorot	<i>noun</i><br><ol><li>bitter gourd</li></ol>
kalahokan	<i>noun</i><br><ol><li>noon</li></ol>
kalang	<i>noun</i><br><ol><li>crab</li></ol>
kalapiyat	<i>noun</i><br><ol><li>lightning</li></ol>
kalaw	<i>noun</i><br><ol><li>(anatomy) eyebrow</li></ol>
kalic	<i>verb</i><br><ol><li>to ride; to climb; to ride (in a vehicle)</li></ol>
kalisawotan	<i>verb</i><br><ol><li>to gather; to assemble</li></ol>
kalisowotan	<i>noun</i><br><ol><li>the time of the assembly/gathering</li></ol>
kalitang	<i>noun</i><br><ol><li>cowpea</li></ol>
kamacal	<i>noun</i><br><ol><li>wild strawberry; strawberry</li></ol>
